,Score,Localization,Dataset_Name,Type
ARCN1,-0.18708275,Cytosol,Lung_Tumor_PD,Proteome
ARFGEF2,-0.19708239,Cytosol,Lung_Tumor_PD,Proteome
ARFRP1,0.18647094,Secretory,Lung_Tumor_PD,Proteome
ARHGAP12,-0.15418468,Cytosol,Lung_Tumor_PD,Proteome
ARHGAP17,-0.08562829,Cytosol,Lung_Tumor_PD,Proteome
ARHGAP35,-0.10280789,Cytosol,Lung_Tumor_PD,Proteome
ARHGAP5,-0.081570126,Cytosol,Lung_Tumor_PD,Proteome
ARHGDIA,-0.07944422,Cytosol,Lung_Tumor_PD,Proteome
ARHGDIB,-0.116712704,Cytosol,Lung_Tumor_PD,Proteome
ARHGEF10,-0.03516445,Cytosol,Lung_Tumor_PD,Proteome
ARHGEF10L,-0.13970025,Cytosol,Lung_Tumor_PD,Proteome
ARHGEF40,0.037408195,Secretory,Lung_Tumor_PD,Proteome
ARHGEF7,-0.058739934,Cytosol,Lung_Tumor_PD,Proteome
ARID1B,0.47779423,Nucleus,Lung_Tumor_PD,Proteome
ARIH1,-0.29290423,Cytosol,Lung_Tumor_PD,Proteome
ARIH2,-0.43263683,Cytosol,Lung_Tumor_PD,Proteome
ARL13B,-0.29778516,Secretory,Lung_Tumor_PD,Proteome
ARL15,-0.3312285,Secretory,Lung_Tumor_PD,Proteome
ARL6,-0.2174823,Cytosol,Lung_Tumor_PD,Proteome
ARL6IP5,0.08598998,Secretory,Lung_Tumor_PD,Proteome
ARL8A,0.07096828,Secretory,Lung_Tumor_PD,Proteome
ARL8B,0.22595604,Secretory,Lung_Tumor_PD,Proteome
ARMC10,0.29735523,Mitochondria,Lung_Tumor_PD,Proteome
ARMC6,-0.6527439,Cytosol,Lung_Tumor_PD,Proteome
ARMCX3,-0.28189966,Mitochondria,Lung_Tumor_PD,Proteome
ARPC5,-0.07098991,Cytosol,Lung_Tumor_PD,Proteome
ARV1,0.23333074,Secretory,Lung_Tumor_PD,Proteome
ASAH1,0.103662625,Secretory,Lung_Tumor_PD,Proteome
ASAP1,-0.061011814,Cytosol,Lung_Tumor_PD,Proteome
ASH2L,0.4556228,Nucleus,Lung_Tumor_PD,Proteome
ASMTL,-0.06675768,Cytosol,Lung_Tumor_PD,Proteome
ASPH,-0.45831195,Secretory,Lung_Tumor_PD,Proteome
ASPSCR1,-0.52745235,Cytosol,Lung_Tumor_PD,Proteome
ASS1,-0.22656018,Cytosol,Lung_Tumor_PD,Proteome
ATAD1,0.118608765,Mitochondria,Lung_Tumor_PD,Proteome
ATAD2,0.50263596,Nucleus,Lung_Tumor_PD,Proteome
ATAD2B,0.35182375,Nucleus,Lung_Tumor_PD,Proteome
ATAD3A,0.004507858,Mitochondria,Lung_Tumor_PD,Proteome
ATE1,-0.06936222,Cytosol,Lung_Tumor_PD,Proteome
ATF1,0.53867465,Nucleus,Lung_Tumor_PD,Proteome
ATF6,0.23513463,Secretory,Lung_Tumor_PD,Proteome
ATG12,-0.13790175,Cytosol,Lung_Tumor_PD,Proteome
ATG13,-0.07342196,Cytosol,Lung_Tumor_PD,Proteome
ATG16L1,-0.151923,Cytosol,Lung_Tumor_PD,Proteome
ATG2B,-0.15635839,Cytosol,Lung_Tumor_PD,Proteome
ATG3,-0.10598915,Cytosol,Lung_Tumor_PD,Proteome
ATG4B,-0.10433493,Cytosol,Lung_Tumor_PD,Proteome
ATG4C,-0.10578139,Cytosol,Lung_Tumor_PD,Proteome
ATG5,-0.13129228,Cytosol,Lung_Tumor_PD,Proteome
ATG7,-0.10404666,Cytosol,Lung_Tumor_PD,Proteome
ATG9A,0.18304764,Secretory,Lung_Tumor_PD,Proteome
ATIC,-0.33236277,Cytosol,Lung_Tumor_PD,Proteome
ATL2,-0.3679424,Secretory,Lung_Tumor_PD,Proteome
ATL3,0.12246819,Secretory,Lung_Tumor_PD,Proteome
ATP11A,0.12466739,Secretory,Lung_Tumor_PD,Proteome
ATP11B,-0.4854435,Secretory,Lung_Tumor_PD,Proteome
ATP11C,0.08616405,Secretory,Lung_Tumor_PD,Proteome
ATP13A1,0.21455559,Secretory,Lung_Tumor_PD,Proteome
ATP13A3,-0.28649402,Secretory,Lung_Tumor_PD,Proteome
ATP1A1,-0.105829075,Secretory,Lung_Tumor_PD,Proteome
ATP1B1,-0.020615108,Secretory,Lung_Tumor_PD,Proteome
ATP1B3,-0.46289158,Secretory,Lung_Tumor_PD,Proteome
ATP2A2,-0.27075335,Secretory,Lung_Tumor_PD,Proteome
ATP2B1,-0.43806434,Secretory,Lung_Tumor_PD,Proteome
ATP2B4,-0.21799284,Secretory,Lung_Tumor_PD,Proteome
ATP2C1,0.038902164,Secretory,Lung_Tumor_PD,Proteome
ATP6AP1,-0.12882116,Secretory,Lung_Tumor_PD,Proteome
ATP6AP2,-0.14088728,Secretory,Lung_Tumor_PD,Proteome
ATP6V0A1,0.17384818,Secretory,Lung_Tumor_PD,Proteome
ATP6V0A2,-0.5941986,Secretory,Lung_Tumor_PD,Proteome
ATP6V0D1,0.15179737,Secretory,Lung_Tumor_PD,Proteome
ATP7A,-0.529828,Secretory,Lung_Tumor_PD,Proteome
ATP8B1,-0.0837335,Secretory,Lung_Tumor_PD,Proteome
ATP9A,0.14575458,Secretory,Lung_Tumor_PD,Proteome
ATP9B,0.18590537,Secretory,Lung_Tumor_PD,Proteome
ATPAF1,0.3938946,Mitochondria,Lung_Tumor_PD,Proteome
ATRN,0.081535704,Secretory,Lung_Tumor_PD,Proteome
ATRX,0.53699815,Nucleus,Lung_Tumor_PD,Proteome
ATXN1,-0.47431073,Nucleus,Lung_Tumor_PD,Proteome
ATXN3,-0.4511459,Cytosol,Lung_Tumor_PD,Proteome
ATXN7L3B,-0.5853937,Cytosol,Lung_Tumor_PD,Proteome
AUP1,-0.63304985,Secretory,Lung_Tumor_PD,Proteome
AURKB,0.47648743,Nucleus,Lung_Tumor_PD,Proteome
AVL9,-0.105045386,Cytosol,Lung_Tumor_PD,Proteome
B2M,0.24150948,Secretory,Lung_Tumor_PD,Proteome
B3GAT3,0.16837645,Secretory,Lung_Tumor_PD,Proteome
B3GNT2,0.12984441,Secretory,Lung_Tumor_PD,Proteome
B4GALT1,0.09753017,Secretory,Lung_Tumor_PD,Proteome
B4GALT4,-0.4203732,Secretory,Lung_Tumor_PD,Proteome
BAG3,-0.14962779,Cytosol,Lung_Tumor_PD,Proteome
BAG6,-0.52386343,Cytosol,Lung_Tumor_PD,Proteome
BAK1,-0.4181436,Mitochondria,Lung_Tumor_PD,Proteome
BAX,-0.079991564,Cytosol,Lung_Tumor_PD,Proteome
BAZ1A,0.40803844,Nucleus,Lung_Tumor_PD,Proteome
