,Score,Localization,Dataset_Name,Type
ATP9A,-0.3686862,Secretory,Glioma_Tumor_PD,Proteome
ATP9B,0.05241787,Secretory,Glioma_Tumor_PD,Proteome
ATPAF1,0.55450547,Mitochondria,Glioma_Tumor_PD,Proteome
ATRN,-0.09086067,Secretory,Glioma_Tumor_PD,Proteome
ATRX,0.61677647,Nucleus,Glioma_Tumor_PD,Proteome
ATXN1,-0.30254343,Nucleus,Glioma_Tumor_PD,Proteome
ATXN3,-0.28111172,Cytosol,Glioma_Tumor_PD,Proteome
ATXN7L3B,-0.56801325,Cytosol,Glioma_Tumor_PD,Proteome
AUP1,-0.21480557,Secretory,Glioma_Tumor_PD,Proteome
AVL9,-0.49873793,Cytosol,Glioma_Tumor_PD,Proteome
B2M,0.07183241,Secretory,Glioma_Tumor_PD,Proteome
B3GALT6,0.049275585,Secretory,Glioma_Tumor_PD,Proteome
B3GAT3,0.061111365,Secretory,Glioma_Tumor_PD,Proteome
B4GALT1,0.07316965,Secretory,Glioma_Tumor_PD,Proteome
B4GALT4,0.00029719257,Secretory,Glioma_Tumor_PD,Proteome
BAG3,-0.30719334,Cytosol,Glioma_Tumor_PD,Proteome
BAG6,-0.47080386,Cytosol,Glioma_Tumor_PD,Proteome
BAX,-0.033263084,Cytosol,Glioma_Tumor_PD,Proteome
BAZ1A,0.56415737,Nucleus,Glioma_Tumor_PD,Proteome
BAZ1B,0.5692719,Nucleus,Glioma_Tumor_PD,Proteome
BAZ2A,0.39361224,Nucleus,Glioma_Tumor_PD,Proteome
BCAP29,-0.0028937713,Secretory,Glioma_Tumor_PD,Proteome
BCAP31,0.034545515,Secretory,Glioma_Tumor_PD,Proteome
BCAR1,-0.5634676,Cytosol,Glioma_Tumor_PD,Proteome
BCAS3,-0.52197415,Cytosol,Glioma_Tumor_PD,Proteome
BCL10,-0.068046294,Cytosol,Glioma_Tumor_PD,Proteome
BCL2L1,-0.28970042,Mitochondria,Glioma_Tumor_PD,Proteome
BCL2L13,0.42704645,Mitochondria,Glioma_Tumor_PD,Proteome
BCL9L,0.68054515,Nucleus,Glioma_Tumor_PD,Proteome
BCS1L,0.5735938,Mitochondria,Glioma_Tumor_PD,Proteome
BDH1,0.5815562,Mitochondria,Glioma_Tumor_PD,Proteome
BDH2,-0.16047741,Cytosol,Glioma_Tumor_PD,Proteome
BEND3,0.6582835,Nucleus,Glioma_Tumor_PD,Proteome
BET1,-0.15017216,Secretory,Glioma_Tumor_PD,Proteome
BET1L,0.025237152,Secretory,Glioma_Tumor_PD,Proteome
BID,-0.021756811,Cytosol,Glioma_Tumor_PD,Proteome
BIN1,-0.44388488,Cytosol,Glioma_Tumor_PD,Proteome
BIN3,-0.08381753,Cytosol,Glioma_Tumor_PD,Proteome
BIRC2,0.053908773,Cytosol,Glioma_Tumor_PD,Proteome
BIRC6,-0.11758996,Cytosol,Glioma_Tumor_PD,Proteome
BLVRB,-0.18889679,Cytosol,Glioma_Tumor_PD,Proteome
BMP2K,0.073493734,Secretory,Glioma_Tumor_PD,Proteome
BMPR2,-0.5217497,Secretory,Glioma_Tumor_PD,Proteome
BMS1,0.53633094,Nucleus,Glioma_Tumor_PD,Proteome
BNIP1,-0.010554113,Secretory,Glioma_Tumor_PD,Proteome
BNIP3,0.23539907,Mitochondria,Glioma_Tumor_PD,Proteome
BPNT1,-0.07535161,Cytosol,Glioma_Tumor_PD,Proteome
BRAF,-0.48352724,Cytosol,Glioma_Tumor_PD,Proteome
BRCC3,-0.09960838,Cytosol,Glioma_Tumor_PD,Proteome
BRD1,0.5610259,Nucleus,Glioma_Tumor_PD,Proteome
BRD2,0.65956116,Nucleus,Glioma_Tumor_PD,Proteome
BRD4,0.6804141,Nucleus,Glioma_Tumor_PD,Proteome
BRIX1,0.24549028,Nucleus,Glioma_Tumor_PD,Proteome
BROX,-0.09630014,Cytosol,Glioma_Tumor_PD,Proteome
BRPF1,0.6723615,Nucleus,Glioma_Tumor_PD,Proteome
BRWD1,0.64753836,Nucleus,Glioma_Tumor_PD,Proteome
BSCL2,-0.4485216,Secretory,Glioma_Tumor_PD,Proteome
BSG,0.019178856,Secretory,Glioma_Tumor_PD,Proteome
BTF3,-0.63371146,Cytosol,Glioma_Tumor_PD,Proteome
BTF3L4,-0.5837789,Cytosol,Glioma_Tumor_PD,Proteome
BTN2A1,-0.45863494,Secretory,Glioma_Tumor_PD,Proteome
BUB1B,-0.616505,Cytosol,Glioma_Tumor_PD,Proteome
