,Score,Localization,Dataset_Name,Type
BCL10,0.31697682,Cytosol,Mertins_Breast_PD,Proteome
BCL2L1,0.22648093,Mitochondria,Mertins_Breast_PD,Proteome
BCL2L13,0.20124821,Mitochondria,Mertins_Breast_PD,Proteome
BCL9L,-0.08933667,Nucleus,Mertins_Breast_PD,Proteome
BCS1L,0.29725528,Mitochondria,Mertins_Breast_PD,Proteome
BDH1,0.087996736,Mitochondria,Mertins_Breast_PD,Proteome
BDH2,0.2805898,Cytosol,Mertins_Breast_PD,Proteome
BET1,0.25864205,Secretory,Mertins_Breast_PD,Proteome
BET1L,0.12668596,Secretory,Mertins_Breast_PD,Proteome
BID,0.22357428,Cytosol,Mertins_Breast_PD,Proteome
BIN1,0.332571,Cytosol,Mertins_Breast_PD,Proteome
BIN3,0.00878984,Cytosol,Mertins_Breast_PD,Proteome
BIRC2,0.16369076,Cytosol,Mertins_Breast_PD,Proteome
BIRC6,-0.43838242,Cytosol,Mertins_Breast_PD,Proteome
BLVRB,0.10352617,Cytosol,Mertins_Breast_PD,Proteome
BMP2K,-0.44699,Secretory,Mertins_Breast_PD,Proteome
BMS1,0.46418038,Nucleus,Mertins_Breast_PD,Proteome
BPNT1,0.20058917,Cytosol,Mertins_Breast_PD,Proteome
BRAF,-0.19554092,Cytosol,Mertins_Breast_PD,Proteome
BRCC3,0.22102216,Cytosol,Mertins_Breast_PD,Proteome
BRD1,0.45093033,Nucleus,Mertins_Breast_PD,Proteome
BRD2,0.3308047,Nucleus,Mertins_Breast_PD,Proteome
BRD4,0.38216725,Nucleus,Mertins_Breast_PD,Proteome
BRIX1,0.46476048,Nucleus,Mertins_Breast_PD,Proteome
BROX,0.038279418,Cytosol,Mertins_Breast_PD,Proteome
BRPF1,0.26189154,Nucleus,Mertins_Breast_PD,Proteome
BSG,0.22225788,Secretory,Mertins_Breast_PD,Proteome
BTF3,0.13849515,Cytosol,Mertins_Breast_PD,Proteome
BTF3L4,-0.480392,Cytosol,Mertins_Breast_PD,Proteome
C11orf68,0.3308853,Cytosol,Mertins_Breast_PD,Proteome
C12orf57,0.14076748,Cytosol,Mertins_Breast_PD,Proteome
C14orf119,0.31798396,Cytosol,Mertins_Breast_PD,Proteome
C1QBP,0.19653067,Mitochondria,Mertins_Breast_PD,Proteome
C1orf198,0.3098317,Cytosol,Mertins_Breast_PD,Proteome
C1orf226,-0.017889036,Mitochondria,Mertins_Breast_PD,Proteome
C1orf50,0.15904292,Cytosol,Mertins_Breast_PD,Proteome
C2orf49,0.18191919,Nucleus,Mertins_Breast_PD,Proteome
C2orf69,-0.045409996,Cytosol,Mertins_Breast_PD,Proteome
C5orf24,-0.38637155,Nucleus,Mertins_Breast_PD,Proteome
CABIN1,0.26718432,Nucleus,Mertins_Breast_PD,Proteome
CACYBP,-0.2750063,Cytosol,Mertins_Breast_PD,Proteome
CAD,-0.13745327,Cytosol,Mertins_Breast_PD,Proteome
CADM4,-0.31148338,Secretory,Mertins_Breast_PD,Proteome
CALCOCO1,-0.042589903,Cytosol,Mertins_Breast_PD,Proteome
CALR,-0.16954169,Nucleus,Mertins_Breast_PD,Proteome
CALU,-0.054847393,Nucleus,Mertins_Breast_PD,Proteome
CAMK2D,0.32178468,Cytosol,Mertins_Breast_PD,Proteome
CAMK2G,0.32286686,Cytosol,Mertins_Breast_PD,Proteome
CANT1,-0.042901754,Secretory,Mertins_Breast_PD,Proteome
CANX,0.2371232,Secretory,Mertins_Breast_PD,Proteome
CAPN1,0.13964549,Cytosol,Mertins_Breast_PD,Proteome
CAPN2,0.28558958,Cytosol,Mertins_Breast_PD,Proteome
CAPNS1,0.30228734,Cytosol,Mertins_Breast_PD,Proteome
CAPS,-0.3663227,Cytosol,Mertins_Breast_PD,Proteome
CASK,-0.22325373,Mitochondria,Mertins_Breast_PD,Proteome
CASP7,-0.1310661,Cytosol,Mertins_Breast_PD,Proteome
CAST,0.18049265,Cytosol,Mertins_Breast_PD,Proteome
CAV1,0.008463629,Secretory,Mertins_Breast_PD,Proteome
CBFB,0.26454085,Cytosol,Mertins_Breast_PD,Proteome
CBL,0.24639915,Cytosol,Mertins_Breast_PD,Proteome
CBR1,0.32268587,Cytosol,Mertins_Breast_PD,Proteome
CBR3,0.3187584,Cytosol,Mertins_Breast_PD,Proteome
CBX3,0.22836348,Nucleus,Mertins_Breast_PD,Proteome
CBX5,-0.18547541,Nucleus,Mertins_Breast_PD,Proteome
CBX8,0.31035972,Nucleus,Mertins_Breast_PD,Proteome
CC2D1B,0.32261658,Cytosol,Mertins_Breast_PD,Proteome
CCAR1,0.28945222,Nucleus,Mertins_Breast_PD,Proteome
CCAR2,0.059299335,Nucleus,Mertins_Breast_PD,Proteome
CCDC115,-0.35988086,Secretory,Mertins_Breast_PD,Proteome
CCDC127,0.06917773,Mitochondria,Mertins_Breast_PD,Proteome
CCDC134,-0.4068336,Secretory,Mertins_Breast_PD,Proteome
CCDC22,0.28514966,Cytosol,Mertins_Breast_PD,Proteome
CCDC25,0.07719577,Cytosol,Mertins_Breast_PD,Proteome
CCDC43,-0.35401303,Cytosol,Mertins_Breast_PD,Proteome
CCDC47,0.26134712,Secretory,Mertins_Breast_PD,Proteome
CCDC50,0.32085693,Cytosol,Mertins_Breast_PD,Proteome
CCDC51,0.06673285,Mitochondria,Mertins_Breast_PD,Proteome
CCDC6,-0.06071326,Cytosol,Mertins_Breast_PD,Proteome
CCDC61,-0.2287635,Secretory,Mertins_Breast_PD,Proteome
CCDC85C,-0.44409212,Cytosol,Mertins_Breast_PD,Proteome
CCDC86,0.34621978,Nucleus,Mertins_Breast_PD,Proteome
CCDC90B,0.102131955,Mitochondria,Mertins_Breast_PD,Proteome
CCDC91,-0.4493712,Cytosol,Mertins_Breast_PD,Proteome
CCDC92,0.33051082,Cytosol,Mertins_Breast_PD,Proteome
CCDC93,0.2525387,Cytosol,Mertins_Breast_PD,Proteome
CCDC97,-0.078314856,Cytosol,Mertins_Breast_PD,Proteome
CCNH,-0.07405638,Nucleus,Mertins_Breast_PD,Proteome
CCNT1,0.15838571,Nucleus,Mertins_Breast_PD,Proteome
CCNT2,0.02039197,Nucleus,Mertins_Breast_PD,Proteome
CCS,0.06432652,Cytosol,Mertins_Breast_PD,Proteome
CCT2,0.15822437,Cytosol,Mertins_Breast_PD,Proteome
