gene_name,C3L-02168-Tumor,C3N-04162-Tumor,C3L-01663-Tumor,C3N-02300-Tumor,C3L-00568-Tumor,C3L-02627-Tumor,C3L-00965-Tumor,C3N-03424-Tumor,C3L-02625-Tumor,C3L-02619-Tumor,C3N-02289-Tumor,C3L-01884-Tumor,C3N-01025-Tumor,C3L-02963-Tumor,C3L-02546-Tumor,C3L-02552-Tumor,C3N-02288-Tumor,C3N-03425-Tumor,C3N-01020-Tumor,C3N-01194-Tumor,C3L-02964-Tumor,C3N-02675-Tumor,C3N-02339-Tumor,C3L-03272-Tumor,C3N-03875-Tumor,C3N-03848-Tumor,C3L-02650-Tumor,C3N-03486-Tumor,C3L-00904-Tumor,C3L-02646-Tumor,C3N-02375-Tumor,C3N-00211-Tumor,C3N-02374-Tumor,C3N-03877-Tumor,C3L-01606-Tumor,C3L-01000-Tumor,C3L-04391-Tumor,C3L-00445-Tumor,C3L-02130-Tumor,C3N-03441-Tumor,C3N-02575-Tumor,C3N-03092-Tumor,C3N-03051-Tumor,C3N-03093-Tumor,C3L-02127-Tumor,C3L-02669-Tumor,C3L-00081-Tumor,C3L-03963-Tumor,C3N-02425-Tumor,C3N-01892-Tumor,C3N-01893-Tumor,C3N-00555-Tumor,C3N-03882-Tumor,C3L-03962-Tumor,C3L-02665-Tumor,C3L-00927-Tumor,C3L-04014-Tumor,C3N-03880-Tumor,C3N-01846-Tumor,C3N-03076-Tumor,C3N-02426-Tumor,C3L-01838-Tumor,C3L-03961-Tumor,C3L-03965-Tumor,C3N-03072-Tumor,C3N-00221-Tumor,C3N-04127-Tumor,C3L-00923-Tumor,C3L-02649-Tumor,C3L-02891-Tumor,C3N-03851-Tumor,C3N-03886-Tumor,C3N-03662-Tumor,C3N-02434-Tumor,C3N-02435-Tumor,C3L-04013-Tumor,C3N-04124-Tumor,C3L-02660-Tumor,C3L-02648-Tumor,C3N-02283-Tumor,C3L-02968-Tumor,C3L-01285-Tumor,C3L-00603-Tumor,C3L-02969-Tumor,C3L-00415-Tumor,C3L-01455-Tumor,C3L-00993-Tumor,C3N-00497-Tumor,C3L-03678-Tumor,C3N-00247-Tumor,C3L-02349-Tumor,C3N-04155-Tumor,C3L-02163-Tumor,C3L-02629-Tumor,C3N-02285-Tumor,C3N-02252-Tumor,C3N-01411-Tumor,C3N-01028-Tumor,C3L-02358-Tumor,C3N-02284-Tumor,C3L-02170-Tumor,C3L-02164-Tumor,C3N-02523-Tumor,C3L-04071-Tumor,C3N-02494-Tumor,C3L-02951-Tumor,C3N-03204-Tumor,C3N-01017-Tumor
PLCG1,24.118,16.3606,35.7399,35.4888,21.9233,19.7798,29.5616,22.2299,25.542,41.5656,33.7509,36.6529,36.8714,17.7494,18.913,26.6099,60.0852,28.5617,31.2046,23.2447,37.8975,46.1038,46.8315,26.4771,18.0777,31.5022,19.5285,16.2495,19.6045,33.81,16.07,23.8673,23.2701,40.6163,34.6736,36.9223,20.1608,52.1966,30.2178,25.5948,11.4985,25.9588,28.7532,41.5687,39.8303,27.0655,30.3558,34.2671,31.3727,40.8818,20.6238,34.2313,18.9906,44.2117,12.6084,28.3746,29.6765,14.2748,57.7896,26.8178,38.5518,24.3385,21.3325,24.6635,27.985,43.1175,20.8577,18.0709,22.1471,25.6951,28.483,89.3514,33.1569,35.7934,50.2159,222.1335,37.6469,40.0136,19.3149,46.3969,29.2921,24.7447,43.8528,22.0398,18.6896,17.5866,46.6056,16.7853,51.0689,21.4801,25.5352,38.0305,35.23,40.3061,34.206,31.622,23.4825,42.029,42.8255,32.2888,21.4575,19.5433,37.4924,28.1254,22.6681,37.5505,27.9337,23.8076
PLCG2,8.2918,11.9529,12.1064,10.4614,12.6169,6.8661,11.1726,17.8853,21.6417,10.1203,16.0736,8.5998,8.9413,16.338,8.8482,12.0942,16.2273,16.9512,13.5704,19.1659,12.7921,23.4727,6.4474,22.4587,11.4447,27.4369,9.0543,11.6592,13.777,11.5506,11.1923,4.8087,9.3469,8.8807,13.1475,7.6666,6.2666,10.4264,11.9105,12.6681,4.5991,9.4568,7.2938,23.176,10.7419,11.1715,4.2363,20.6192,10.3801,15.812,12.1844,18.2027,7.913,10.5035,7.5187,5.3499,9.9846,20.6704,11.5385,26.6204,12.9247,10.5833,19.5676,11.0635,5.1119,10.1342,15.1503,15.1066,12.3246,28.2911,11.5492,12.3198,8.5705,7.2709,19.3069,7.908,14.3163,16.802,9.8209,6.8667,16.0877,6.511,8.8213,24.727,13.419,18.0077,4.9056,18.2378,7.1675,20.5641,9.8872,4.3198,6.3706,16.2445,8.1811,15.1332,7.9568,18.0372,7.2068,14.9696,9.2309,26.406,6.3966,20.8851,12.0085,12.7982,11.8673,12.729
PLCH1,2.3987,11.5991,13.4245,10.1184,4.8933,2.7383,13.5226,4.9748,5.8213,3.8571,8.6526,8.137,2.4938,3.0342,5.2041,3.4872,8.1649,6.7585,5.2008,2.7248,8.0608,7.3124,1.0749,3.9438,2.6339,6.9111,6.607,6.0109,1.5189,11.6266,5.3615,1.5968,2.739,32.6459,5.041,14.3231,2.6444,14.4599,2.2236,13.7775,7.4136,28.2204,6.1678,3.3043,2.1385,1.9364,2.2267,18.9056,0.9113,7.6616,6.2933,3.3026,15.5725,47.4772,8.8593,1.2375,6.6133,10.2439,2.5772,10.9806,3.9025,4.6799,8.4194,12.1905,7.3835,48.8894,3.4858,7.7011,2.7075,6.2177,0.0518,9.209,14.1147,15.2202,11.7161,19.9687,9.7524,8.6453,6.6947,6.9034,4.906,56.6336,6.3145,17.3035,15.7538,9.7017,1.0823,3.9986,7.6523,8.1054,16.3785,9.7577,3.3892,7.0601,5.2721,15.0921,16.6452,5.9706,2.7976,24.8136,6.9056,7.6208,4.8656,13.6893,5.1671,2.7777,12.9873,13.0489
PLCH2,6.4892,11.7864,4.6771,25.9893,7.6415,18.1884,2.0663,11.4973,7.3376,6.5438,3.173,19.8254,4.7785,4.0433,8.0192,4.9797,8.8907,8.5727,7.0467,1.4215,11.2075,17.223,20.2067,11.2683,5.5491,9.6619,2.5824,13.2251,20.5863,17.4425,3.0979,13.569,9.3005,7.8576,10.3061,0.8673,8.5331,2.3387,6.1549,5.2966,1.1641,1.7676,16.1171,6.7299,6.4378,6.8135,2.6645,1.0401,6.4565,12.1161,11.0833,14.821,1.8584,3.9405,1.2983,16.1424,5.1313,2.844,8.8194,1.8554,16.2876,10.9277,3.6678,1.8937,4.4601,10.4877,7.8051,8.6916,0.6262,5.1308,0.8463,0.8409,13.3062,5.4563,8.1535,0.7487,3.6615,1.8909,9.3827,2.904,6.9567,0.9259,6.1976,4.7821,6.8421,6.759,10.4381,9.8792,14.4964,1.552,3.5287,6.2349,10.4776,2.2168,12.6424,7.0146,4.3404,8.5155,17.1948,32.6505,8.0522,2.2439,18.7026,1.6581,2.5832,3.3805,4.167,4.6252
PLCL1,2.7414,3.0579,3.5858,3.009,3.1308,1.4554,1.8794,2.7533,3.0218,1.283,4.929,3.1227,1.5708,1.3623,2.6666,3.1395,1.6959,2.0388,4.0534,1.7732,3.0437,5.6092,3.1134,3.1147,1.5736,4.7702,2.6181,2.5411,4.9213,1.4296,0.9787,2.1744,2.1337,3.5331,2.2065,11.708,3.9369,2.3855,1.959,4.27,1.1948,2.863,1.5903,3.2408,1.4635,2.7246,4.4403,3.5243,1.0294,3.0664,3.3814,1.2948,0.6082,2.4362,2.3502,1.8431,1.8753,2.4954,8.7357,17.0324,4.2628,2.7254,3.1534,3.3953,1.9096,2.1659,2.1659,4.862,2.3029,4.8856,1.2728,16.0032,3.2978,0.7498,6.8308,4.924,2.628,3.8261,2.6029,4.8474,2.3431,4.0756,38.2644,2.5257,1.8143,2.962,2.123,3.1365,2.5569,3.0707,2.5402,3.5831,3.2063,5.7788,2.4373,3.0406,1.4395,2.1703,3.8455,1.5387,2.2017,2.9595,1.9721,3.4997,2.494,2.663,1.3199,2.9157
PLCL2,10.0089,9.4124,14.2525,8.5031,12.182,5.4982,9.2797,17.2256,16.7987,8.241,11.485,12.5231,5.8331,8.5185,10.252,11.5366,9.6591,7.0665,12.8164,13.8713,11.6398,20.4907,8.8378,11.1423,8.3523,17.015,11.5004,10.5836,11.1932,9.9927,4.8534,9.8064,7.0678,11.8763,11.6097,16.7115,11.2058,11.2647,11.5889,11.5697,2.0081,17.2793,7.5221,17.5201,7.8052,12.5229,10.0863,16.0221,3.0316,12.4597,12.6894,5.808,2.7697,8.5168,7.5274,6.08,8.4231,14.5777,12.2244,11.4957,12.7233,9.5293,16.0498,11.1982,7.815,5.1659,10.4044,15.9228,6.1212,16.3514,7.2498,17.9422,9.5946,5.516,9.6692,12.4009,11.548,13.2171,15.9872,15.0278,10.923,3.8416,14.6157,16.8713,8.7972,18.3706,3.9396,16.6646,6.5616,23.3387,7.9378,6.184,7.3761,21.1967,8.3528,13.1546,5.4902,12.5495,4.9944,5.8783,11.2522,16.236,6.9734,15.0624,10.9674,9.4525,5.0931,11.8039
PLCXD1,3.2255,5.59645,5.61745,7.81885,2.86595,5.31725,2.6361,3.7387,4.74685,12.209,2.96255,5.58025,6.65265,2.724,1.6577,2.38965,5.9993,6.36365,3.60095,4.1218,3.48775,3.8474,1.3992,7.74415,2.6954,3.83155,3.9273,1.95605,4.1466,3.399,3.37525,4.9563,3.61785,3.97755,6.4161,5.27745,4.49895,2.5228,2.52435,4.70885,2.65085,2.94875,7.1221,3.35555,2.07395,2.6344,4.1145,5.28995,8.4938,3.99105,2.57405,3.6791,3.56175,10.97195,5.84495,4.22205,7.7624,3.3249,6.60775,4.07515,2.95525,3.68385,2.34535,2.9238,2.53595,8.18045,3.6883,2.8255,3.6299,4.18125,38.4489,20.28545,2.8361,3.91605,8.78225,20.5191,3.86395,5.4763,2.2121,7.91685,4.0562,10.9157,4.4096,2.6307,3.73075,4.4955,10.20065,7.05895,8.4549,3.2235,3.72815,14.95605,2.6305,2.4053,4.11785,3.35155,4.24465,2.9793,3.39295,3.1338,5.8558,3.8559,3.11665,5.49155,1.77265,4.40825,2.2341,5.0534
PLCXD2,15.6004,3.1058,7.0929,3.8733,11.3738,6.7262,5.0045,4.5789,3.3195,2.9674,2.6837,3.4563,4.5686,3.3794,2.6228,2.1009,7.4615,5.2281,1.432,4.9434,2.3856,3.7146,1.5761,9.3834,3.9811,3.2293,2.7247,2.7478,6.2762,8.2677,10.1122,3.5172,4.333,4.861,3.1784,2.7546,6.147,3.549,3.1764,2.2421,4.6003,2.4179,2.6906,3.9733,2.199,10.4359,10.5802,3.633,2.7049,8.1075,5.7425,3.0906,2.0329,2.1701,5.4177,4.757,6.2148,3.4559,2.875,3.785,3.2757,3.0126,13.595,12.8224,6.7692,1.5483,2.3265,3.7588,3.917,5.0934,1.3591,7.2202,24.755,6.4434,4.4006,2.5795,3.1119,2.1614,5.9719,2.9124,5.0541,2.5413,4.6476,6.0549,3.2762,3.5867,4.6165,3.5455,2.9942,4.4353,3.7074,4.6936,3.9462,4.1072,5.1007,3.0336,3.1067,5.9585,6.3264,11.5181,2.1894,2.4609,3.9589,3.6171,4.1185,2.9458,1.6758,10.7291
PLCXD3,0.4876,0.0833,0.7935,1.179,0.6439,0.3057,0.5922,1.4418,0.0888,1.2522,0.6767,0.1985,0.3203,0.6894,1.5857,0.9813,0.2059,0.8327,0.5228,0.0561,1.4501,1.9564,0.0111,0.5376,0.7149,1.4546,2.3235,0.1204,1.7188,2.0996,0.1274,0.6965,0.4571,1.101,0.9575,2.7566,0.6398,0.2043,0.4911,5.0412,0.6487,0.3447,1.5948,0.3589,0.0597,0.3205,0.2984,2.6951,0.0523,1.1218,2.2109,0.606,0.0681,0.4579,1.5825,0.0463,1.2435,0.0704,0.2576,0.2831,0.7603,3.5495,1.9337,0.6893,0.4178,0.0848,0.4644,0.9985,0.7623,1.8827,0.2981,0.3862,1.3297,0.0332,1.4075,0.0608,0.8741,3.2365,0.3824,1.7286,0.5145,0.1369,0.8229,0.6275,0.1896,1.4304,0.2066,0.9547,0.9037,4.0253,0.2658,0.7923,0.1758,1.203,1.0477,0.8124,0.4846,1.6977,0.388,0.0168,1.9627,2.119,1.1289,4.8654,0.4352,1.5892,0.4044,0.4915
PLCZ1,0.1244,0.1877,28.0549,0.2583,0.2851,0.2369,0.2576,0.1095,3.0033,0.1841,0.0184,0.0706,3.6643,0.044,0.1232,0.0137,0.0,0.2925,0.0,0.0,0.2476,0.0747,0.0999,0.4383,0.0173,0.1594,0.1441,0.0143,0.1394,3.6997,0.205,0.0,0.0503,0.0919,0.0981,1.5907,0.2368,1.1149,0.1261,0.0965,0.9348,0.1295,0.2459,0.5637,0.4036,0.0258,0.0,0.0756,0.0197,0.0612,0.2651,0.1112,0.192,0.0304,0.0194,0.0,0.0,0.0396,0.1382,9.8793,0.1428,0.086,0.8046,0.2072,0.3014,0.0869,0.0177,0.0395,0.0,0.375,0.0217,0.0378,2.0349,0.0,0.3369,0.0,0.3629,0.2432,0.0646,0.0775,0.116,0.0561,0.1253,10.6294,0.2239,0.0484,0.0482,0.0,0.1434,0.0,0.0222,0.0,0.5213,0.0411,0.0974,0.021,6.2254,0.1075,0.2018,15.177,0.0965,0.0,0.4868,0.43,0.0545,0.2547,0.5859,0.0568
PLD1,44.7402,30.8358,19.9551,27.2944,37.0296,16.8905,24.4209,15.1823,29.1808,28.4911,10.9667,24.4834,29.6366,14.2391,19.2087,13.022,43.4558,33.2312,18.6107,14.5999,13.4695,44.2925,26.3293,130.1202,60.9387,15.0392,18.5732,32.2117,19.2958,42.7271,78.4532,22.4154,18.7586,78.4761,62.7237,7.2446,42.2406,65.639,11.352,48.9085,59.4973,15.4155,36.3397,11.8755,23.7441,85.5238,95.1294,11.4386,23.626,33.8587,44.4992,25.6475,72.3227,42.2307,11.8227,27.4088,19.6862,15.7336,49.1236,14.4912,27.3672,25.0576,34.4832,46.5128,41.5584,84.6219,14.4506,16.5859,26.9605,23.0369,7.3851,18.72,76.9756,87.2549,24.0647,32.9792,107.8652,20.5077,25.3947,15.2504,28.5449,9.7648,12.7988,16.2948,25.7677,23.253,11.9992,16.9711,19.3328,8.6156,37.9596,233.6202,86.5242,17.0594,25.9158,74.4846,23.8064,20.9847,20.6976,57.1034,9.9138,7.9449,26.7113,55.2131,16.8367,14.4277,45.6129,62.5334
PLD2,14.148,34.9513,17.8925,12.8801,17.425,11.6969,18.2563,17.0726,16.6853,41.9542,19.2841,18.4382,14.355,11.5011,13.8647,13.1488,33.3666,25.2519,28.2244,11.9022,21.9062,32.7605,25.5457,16.9693,13.3974,15.3411,16.7841,17.1357,15.436,34.5584,11.7341,13.3233,20.8585,12.9653,13.7734,13.009,16.6277,20.3932,15.937,13.5604,14.8408,24.9197,20.2296,21.0937,58.1778,14.5087,13.3001,19.3468,31.8301,25.6988,19.2095,14.2878,12.1306,33.147,16.8889,14.8976,22.6703,16.6651,29.6812,13.6644,22.2563,14.6351,16.7108,21.4456,11.1273,20.2026,19.0469,16.0224,15.7243,14.7006,24.1801,17.9509,17.9697,12.1922,17.4019,13.4374,17.1542,20.9772,18.541,19.8879,15.4795,19.7551,28.119,26.9487,22.084,13.3913,15.2206,12.868,17.3546,14.27,33.7805,9.7913,36.6448,17.4434,17.6667,18.6803,15.0914,19.1557,23.8012,38.6878,14.0034,12.1502,29.4258,21.4195,11.3895,27.8407,41.4922,13.6942
PLD3,161.2867,64.4038,260.3277,118.0064,264.2776,114.0134,72.8738,103.9464,86.884,91.7994,106.3234,239.658,93.8288,101.6032,141.0233,128.82,207.0602,91.5165,143.3919,84.7611,155.5876,200.3689,126.9933,122.1212,85.3972,105.7958,137.5776,84.7359,150.6639,171.585,79.6382,72.225,80.6479,201.9183,129.3701,104.2112,147.7641,156.1301,84.2005,182.6425,56.4528,250.3787,208.6751,92.7394,124.3457,149.197,71.931,134.7377,36.4184,200.6761,190.8131,147.5409,38.6065,95.4041,139.8672,209.7708,172.0827,101.9255,193.6045,115.2655,187.0743,128.5986,91.0548,88.9172,77.6585,150.9331,115.0723,90.2121,69.6341,108.5588,103.4551,32.6498,155.5342,187.8781,127.0381,70.9294,143.832,143.1914,51.085,155.6545,155.5056,65.3136,114.3993,127.4457,92.7558,104.1258,136.229,69.4518,123.9889,92.9114,228.4994,699.1488,232.0513,105.6289,156.0231,245.0506,50.3344,129.1607,128.4607,64.764,145.183,112.5172,148.9426,137.1241,75.558,123.3717,161.832,268.2863
PLD4,1.5311,1.3402,2.3351,1.5094,1.2659,1.688,4.3097,3.7334,4.0324,2.1957,2.1085,2.9956,1.1074,1.2323,3.7336,3.2618,2.3991,0.4985,2.558,2.217,3.2349,7.9531,4.2576,5.0377,2.4999,6.2334,2.8383,1.7207,1.8681,1.6617,1.7703,1.2649,2.3981,1.8099,1.5323,1.6371,2.1029,2.5057,1.719,2.0382,1.3888,3.4575,1.5689,3.6479,1.4138,1.7586,1.4715,2.9494,2.389,2.4323,5.7014,2.0389,1.8101,1.4828,1.5196,1.9211,2.267,1.7566,5.0882,1.0055,6.246,2.111,6.094,2.9888,1.5407,1.5402,3.4869,6.908,0.7953,3.2737,1.0589,0.9459,1.1349,0.7642,1.4033,0.4051,1.8259,3.7293,2.5945,1.9158,4.9622,0.4142,2.7336,2.1182,4.1624,1.7031,0.8939,4.4586,2.0532,3.9074,4.3612,1.7188,1.6109,5.1572,3.153,6.7189,1.5386,3.8586,2.6492,0.5604,1.9555,6.4681,1.106,5.0149,4.1482,2.9118,0.8382,3.7432
PLD5,0.1118,0.0482,0.4125,0.2189,0.1118,0.0697,0.1262,0.1115,0.1897,0.408,0.5944,0.0931,0.2725,0.2476,0.0443,0.1382,0.1168,0.1665,0.5445,0.005,0.6941,1.0118,0.018,0.0,0.1681,0.5892,0.2302,0.4725,0.0701,0.5669,0.059,0.0197,0.3161,0.0771,0.1058,0.9148,0.1238,0.0523,0.0403,0.4299,0.0086,0.1784,0.6799,0.185,1.5716,0.0556,1.4413,1.2773,0.0141,0.2492,0.2604,0.5651,0.0828,0.12,0.0488,0.015,0.3385,1.9308,0.2186,0.2071,0.1711,0.2659,0.4739,0.0893,0.0,0.0125,0.3762,0.1774,0.2592,0.2554,0.8648,1.6459,0.133,0.2485,0.444,0.0197,0.2329,0.2731,0.0929,0.9057,0.4446,0.0403,4.8015,0.1078,0.0805,0.0463,0.0289,0.5501,0.2784,0.7551,0.0558,0.107,0.0225,0.5832,0.2188,0.59,0.0236,0.5099,0.1048,0.0,0.4105,0.1023,0.175,0.5046,0.0522,0.3719,0.1248,0.1225
PLD6,3.8908,6.5653,5.2223,1.8419,5.5525,1.261,9.1311,1.9438,1.9137,3.1438,1.2472,1.8799,4.5884,1.9508,1.9499,1.2798,8.5857,1.5571,6.3572,2.0739,0.8238,4.3765,2.527,6.2788,1.1299,2.0604,1.3001,2.1868,3.1528,4.275,5.5666,0.5101,1.7725,2.6911,5.6788,2.0423,2.4635,4.5804,3.0766,4.0307,4.9125,2.8725,2.3918,1.0765,5.0135,1.9228,6.0001,4.6628,2.0401,4.9118,1.6932,3.0648,2.7335,6.0593,3.457,0.2778,5.1622,4.1155,7.5427,3.0131,2.2806,1.4654,2.3796,6.0652,2.4065,7.7259,1.4167,1.8392,2.7948,3.152,1.4136,5.2886,4.4317,9.2005,2.2791,2.0076,4.1398,4.5709,1.8351,6.6555,5.813,11.0111,6.1377,3.8503,3.034,1.9522,2.778,2.5208,2.9398,1.6577,5.1975,9.8361,5.0507,1.9682,2.4624,3.8374,4.2153,1.8596,22.9173,4.9487,1.7341,0.6104,12.4559,3.5518,3.8682,1.6314,5.4292,4.6874
PLEC,83.5252,103.8948,108.9355,69.7886,85.0325,97.9999,56.927,86.548,97.3253,244.8287,75.1852,209.5117,182.2229,53.8916,50.3288,69.2152,96.8476,76.5434,104.2125,84.1532,207.7212,116.1692,200.0841,76.3029,35.5303,94.5092,96.4923,46.5618,172.0297,69.4806,42.2319,205.027,235.7125,67.212,62.9497,35.4709,98.4185,142.8364,48.1544,41.2765,163.8065,120.0197,104.5986,165.426,494.723,122.0196,131.4998,27.498,99.5427,135.7633,115.6205,57.485,60.8132,106.6153,167.2128,700.6021,35.9867,33.4975,108.5198,38.2339,135.8068,109.3493,54.6145,61.223,76.4977,184.4642,69.4669,41.2616,42.2994,37.4882,16.1156,41.8002,132.4272,64.2335,160.8485,29.6945,67.9064,71.6999,81.7585,45.2557,76.8222,69.1456,73.6711,63.4014,49.6728,40.7919,72.5205,51.3246,162.2913,83.3737,37.1342,83.3697,109.3054,92.7662,101.5048,91.4445,48.3491,97.1311,260.1619,92.5637,55.1588,37.7254,77.8476,53.6394,42.3503,84.6574,57.8257,61.6822
PLEK,46.1449,28.9588,45.8641,37.0987,67.6879,32.8029,31.1086,66.254,62.5479,43.6787,38.2402,42.7685,29.4489,36.0443,32.454,22.0296,92.7102,78.5424,217.1996,57.8604,59.3738,98.249,27.5481,55.997,45.5534,72.555,44.6428,47.0955,26.3749,41.1718,33.7356,16.1984,35.6975,21.81,83.1138,35.7001,39.1237,41.9024,22.7974,61.3121,73.821,111.3237,47.9155,83.624,33.0178,38.4729,26.558,72.475,44.2857,51.6451,67.9478,33.544,20.5901,45.5873,32.684,36.3164,44.9076,89.8898,43.0026,37.4564,49.835,26.3191,84.0516,38.7855,23.0267,23.574,62.6358,62.81,22.5713,73.3778,33.5543,15.2739,28.8742,20.3217,16.3787,17.8806,61.5481,54.2721,32.2662,9.047,105.2878,20.1159,70.298,96.3765,75.2836,47.0048,14.5247,57.6984,30.7403,69.7167,38.9807,30.0545,13.4826,70.3197,40.9952,54.1635,19.432,72.9249,25.6587,16.4503,39.9857,51.7377,43.3214,100.6835,46.3215,52.2671,22.2069,41.292
PLEK2,9.5666,17.3535,11.0323,24.9781,7.0266,62.8628,9.8826,28.6643,16.2395,25.358,15.2289,36.603,5.0524,6.0261,12.606,30.3104,16.1876,40.776,24.2958,17.6827,55.2271,62.1583,36.5499,9.6401,5.6831,43.9597,28.8915,16.6846,20.3559,10.9125,4.2593,99.1061,86.9866,7.6374,9.4916,9.1667,83.7774,7.0489,10.8149,10.9255,14.9903,27.2334,23.373,160.1528,40.5997,11.2834,31.0467,5.7873,44.2214,24.1222,46.8711,19.483,23.7162,20.9075,31.0292,22.8714,11.1786,35.0678,19.8293,13.3221,35.494,20.9179,12.5116,16.7152,38.9639,29.6833,59.1626,20.5491,21.2442,7.1211,2.8914,16.0552,21.845,6.3329,19.2146,27.7684,6.802,3.5226,84.0014,8.4348,13.3125,16.007,32.3918,12.1842,10.8159,12.3017,17.5209,2.9821,21.7675,19.8797,6.405,7.0504,14.0896,26.3209,16.1839,7.5018,68.4489,27.5458,21.6713,32.1096,16.4976,5.2911,21.5305,27.1604,2.5423,27.0832,13.6181,6.0869
PLEKHA1,18.7853,18.3618,14.8608,13.3483,13.0477,8.3997,21.9157,11.3207,11.1045,9.9437,5.8035,22.2628,23.1088,4.7386,8.9315,6.123,15.2625,13.8525,7.9102,6.428,8.5002,11.8451,10.0458,14.2418,13.0658,8.4898,8.2261,7.0021,8.2404,20.6804,15.1744,10.7281,11.452,15.268,22.1692,10.5952,15.1443,37.2791,7.6175,18.8408,14.7976,5.5419,16.8206,13.4107,12.432,28.036,25.8383,10.2609,10.2775,12.2295,10.1205,44.1262,8.1549,51.6268,9.192,21.0587,14.0536,8.4922,32.7953,11.9941,9.0148,16.9119,23.3187,18.9314,25.7138,10.3076,9.4149,14.7041,3.9596,16.5322,13.8319,5.7058,27.9016,11.3212,11.826,8.1955,18.0017,17.3817,15.6153,13.6801,8.0613,19.4049,13.4445,15.5048,8.7899,7.8602,21.5025,4.4368,15.1662,6.8238,9.0555,14.946,28.6367,8.4148,25.3725,23.1841,31.0235,15.4849,20.7153,43.3158,5.8951,4.2189,48.1317,10.1985,13.4885,8.7806,42.2495,40.7509
PLEKHA2,37.0188,33.2589,34.1998,20.9308,31.1212,24.775,30.1405,47.9687,50.667,50.7317,36.9822,132.0871,23.2831,24.9952,17.6326,23.0525,29.7814,40.7713,81.5298,19.0673,45.7921,103.1691,24.8436,38.6631,32.3907,45.2031,42.4427,35.4578,40.211,41.923,23.2228,31.1838,46.8146,48.8197,62.6777,65.0198,46.8776,25.914,21.0646,46.5434,24.8219,37.9047,29.9096,55.3244,20.0236,39.0693,38.7191,36.8847,23.2077,33.9181,49.4273,348.1739,26.9246,30.4123,50.9436,33.5384,37.7459,24.4188,77.0916,85.4136,33.0345,40.5873,43.3459,18.9027,32.1486,18.6399,51.3659,33.5567,22.0587,60.9739,9.8253,30.3075,44.013,15.6414,25.2365,16.4468,58.1434,28.5588,49.0498,52.9046,66.0367,46.7597,24.4203,42.2478,19.3352,27.1543,32.4206,24.6798,92.3428,43.5555,32.8326,17.3062,35.1721,31.3946,80.3865,30.5023,62.0477,35.6995,33.2609,12.693,22.9556,29.2738,78.2165,34.5767,28.8189,31.3489,38.2244,28.6598
PLEKHA3,7.622,15.4118,15.1256,8.1475,11.0785,6.777,8.0313,6.7952,10.138,4.1421,5.925,7.25,8.6761,3.8768,5.1065,5.143,9.1081,14.9599,5.1638,7.4022,7.0031,9.092,6.819,10.4674,6.7125,6.9726,5.4115,4.6314,8.3675,8.7283,4.4421,8.7468,4.7221,12.3281,10.7267,7.7791,15.5387,6.7321,4.0405,10.8422,3.8557,6.7251,5.8487,6.8497,7.3684,9.7211,9.0845,9.2171,7.3433,8.2591,5.5228,6.9431,5.2345,19.3689,7.0747,5.9147,13.4357,7.4116,9.2016,10.1264,7.0016,7.9828,13.3661,20.1137,11.2006,6.0032,5.3178,9.2315,13.3515,9.3815,4.0314,22.1944,15.3887,5.975,12.2729,10.0692,9.8547,8.5305,5.3391,7.5891,4.3273,15.3095,10.806,11.3668,6.9762,7.4168,6.9227,7.4369,5.2174,6.8389,8.586,10.0637,10.919,8.1661,7.95,8.5199,11.2167,6.4901,8.7299,14.6173,5.6415,4.897,12.0617,8.2667,5.4406,4.8255,11.2839,17.5216
PLEKHA4,9.3465,8.5127,14.3013,11.1078,8.3208,7.107,4.8799,14.2226,9.2959,9.3018,20.7411,20.3619,2.7446,8.6924,9.2222,13.1962,17.9536,19.5124,8.5447,1.7202,12.579,15.085,21.6535,11.1142,2.9289,8.084,13.4787,2.4281,4.1131,11.4408,6.6752,8.1628,8.8105,14.6875,8.5103,6.1932,12.0511,8.7795,3.6716,15.4249,4.6735,8.1853,20.6598,4.5161,13.7482,23.191,6.8172,5.8614,3.0058,17.1796,9.6251,4.7018,2.7642,6.054,13.6452,17.6827,8.4627,1.8262,16.2706,10.0512,27.29,12.7722,8.116,10.5054,28.033,9.7004,7.4579,5.4562,3.1115,7.8554,4.3623,6.4992,13.1047,12.5336,17.3253,23.01,7.3728,17.5615,14.4717,8.8591,8.0207,1.2041,7.0392,9.0471,7.3914,11.952,2.3409,3.2256,5.3112,4.9386,7.3235,3.9263,20.5526,12.7683,11.2793,8.0192,4.3959,5.3065,22.2402,2.8167,14.2438,7.0584,14.5454,10.7358,7.1165,13.5408,11.1013,10.3651
