gene_name,BH-A0E9,AN-A04A,AN-A0AJ,AR-A1AV,A2-A0EX,BH-A18N,AO-A126,A2-A0EY,AR-A1AW,C8-A135,AO-A12B,C8-A134,A2-A0SW,AN-A0AL,AR-A1AP,C8-A130,C8-A12U,C8-A12T,C8-A131,AO-A12F,AN-A0AM,AR-A1AS,AO-A12D,C8-A12V,D8-A142,AO-A12E,A2-A0T3,AR-A0TT,A8-A076,A2-A0YC,A2-A0CM,AO-A0J9,AN-A0FL,AO-A0JM,A7-A0CE,A8-A08Z,AR-A0TV,AO-A0JL,AN-A0FK,A2-A0YD,AR-A0TR,E2-A15A,A7-A13F,BH-A0AV,A2-A0T6,A2-A0YG,E2-A154,AR-A0U4,A2-A0YF,AO-A0JJ,BH-A0BV,AO-A03O,E2-A158,A8-A06Z,A8-A06N,AO-A0JE,BH-A0C1,A2-A0YM,A8-A079,AO-A0J6,A7-A0CJ,AR-A0TX,A8-A09G,AO-A0JC,BH-A0C7,A2-A0EQ,C8-A12Z,BH-A18Q,C8-A12L,BH-A0E1,BH-A0DD,A2-A0D2,C8-A138,A2-A0EV,BH-A0DG,BH-A18U,A2-A0SX
NPY4R2,0.0347,0,0,0,0,0,0,0,0,0,0,0.0633,0,0,0.0449,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409,0,0,0,0.0871,0,0,0,0,0.0347,0,0,0,0,0,0,0,0,0,0.0306,0,0,0,0.0191,0,0,0,0.1926,0,0,0,0,0,0,0,0,0,0.3353,0,0,0,0,0,0,0,0,0.1334
NPY5R,2.5635,0.03,0.4306,0.0191,0.3898,37.8115,0.016,0,0.0271,0.0586,10.3227,0.0495,0.1013,0.9949,0.2107,0.1405,0,0.0449,0,3.0405,0.0445,1.1101,0,0.257,0.1067,84.1873,0.7088,0.056,0.0798,3.8045,0,6.0914,5.3176,0,0.2553,0.0208,1.1064,3.5471,42.3248,0.3455,80.3127,0.94285,0.0209,0,0.1668,0,0.0574,0.0197,7.657,0.6984,0,0,6.1561,0.0112,1.2344,0.0179,0.0207,0.8839,0.1633,6.8509,0,0.0535,0,0.2632,0.1133,0,0,3.8562,0,19.9557,3.9748,3.8947,0.0166,22.9483,0.0409,0,0.3751
NQO1,182.4083,279.8181,90.3518,249.5319,171.1589,54.9938,163.2327,397.0796,69.946,864.8849,6.7478,274.517,302.4305,186.0518,270.9821,240.0149,412.7107,96.9307,134.7709,46.898,334.1464,447.0028,22.2068,37.2509,76.7595,97.8017,177.6084,69.78,66.6651,47.9889,147.4763,84.759,109.7534,267.9966,110.736,59.4443,152.0526,92.3157,167.477,129.0475,924.258,246.6346,113.2688,44.7087,63.8676,576.1155,154.0464,66.558,186.4303,243.1594,358.7748,135.5984,35.6832,290.1832,273.9288,166.7916,230.2681,41.7731,281.3482,41.9897,131.2932,523.3469,359.5255,64.3264,363.2677,178.2421,261.0286,32.2592,162.6512,51.3159,208.625,73.8003,417.6767,92.6031,397.312,306.3865,41.811
NQO2,20.3929,9.3829,25.3774,28.3311,23.4926,21.3299,42.5987,22.64,14.5809,42.3824,44.6124,54.8588,29.6542,47.2898,22.9922,41.7866,58.8433,25.0744,4.2095,17.6407,37.1159,31.4317,40.5251,31.484,39.5058,20.9945,9.9038,20.8111,31.8907,19.1265,30.1812,23.9835,70.6357,43.3909,31.9612,20.0906,62.8463,59.5988,37.8026,22.8098,21.2047,19.20135,25.3984,18.2046,26.6066,39.4106,30.4328,41.2764,23.6275,14.0524,35.1036,22.5514,9.3426,8.7449,20.3246,32.9845,19.1759,19.3901,15.6675,23.4113,50.3458,50.8828,33.6488,19.6977,34.3967,14.2917,15.1108,25.2697,28.2405,34.1225,30.2105,35.1251,31.5605,52.0685,23.9003,8.8409,12.586
NR0B1,0,0.0251,0.2401,0,0.0362,0,0,0.0906,0.0453,0.3598,0,0.0621,0,0,0.0881,0,0.0678,53.3285,0,0,0.0248,0,0,0,0,0.0665,0.0312,0,0.0267,0,0,0.1568,0,0,0.7687,0.0349,0,0,0,0,0,0,0,0.0305,0,0,0,0.2967,0,0,4.0919,0,0,0,13.2186,0.4782,0,0,0,0,0,0,0,0.7862,0.0271,0,0,0.0411,0,0,0.0384,0.1297,13.519,0,0.0684,0.0306,0.0262
NR0B2,0,0,0,0.0546,0,0.1213,0.0458,0.1034,0.0776,0,0.3585,0.0354,0.1089,0.2001,0,0.0895,2.8462,0,0,0.0438,0,0,0,0,0,0,0,0,0.2286,0,0,0,0,0,0,0,0.1006,0.0388,0,0,0.0541,0.02705,0.0598,0,0,0,0,0,0.3546,0,0,0,0.0936,0.064,1.2576,0,0,0.0539,0.0425,0,0.1132,0,0,0,0,0.1318,0,0.1407,0.0579,0,0,0.111,0,0,0,0,0.0896
NR1D1,35.1436,21.3565,18.8832,28.3651,18.4445,53.0689,26.6789,7.1459,8.4512,12.679,26.3619,8.5243,11.3356,12.8493,20.3588,10.9365,10.6778,23.1483,18.9849,9.5214,11.5355,37.238,62.739,6.0814,22.8173,25.3886,39.0857,8.8192,40.1755,90.8928,14.5872,9.5868,9.2296,57.219,10.4965,23.1156,9.1612,12.4579,22.761,40.1919,16.43,19.06875,38.0636,28.1332,13.3382,82.9688,27.8082,14.7275,42.9176,42.027,28.8668,10.1444,6.404,68.668,63.905,35.9106,19.6673,13.319,23.3655,55.4722,14.5108,25.867,27.0785,9.471,25.1099,9.4028,74.7599,24.3777,50.0736,7.043,132.0677,14.8048,19.0178,59.4024,12.9275,29.8668,17.1591
NR1D2,68.0875,27.3228,73.6278,43.0682,31.6479,86.6375,27.0817,16.7513,26.5457,12.9317,29.5119,71.0145,18.5851,15.5997,40.295,6.3324,7.6745,20.915,17.4145,26.3235,18.3254,30.8266,40.5867,21.0509,28.5572,28.7395,50.7408,19.449,37.9959,55.2656,32.0779,9.3419,30.0209,17.2961,23.6503,53.913,21.3726,16.9675,35.7246,62.4356,54.5519,21.70345,39.8009,57.5807,36.8883,44.1054,42.3527,56.1575,67.322,74.0708,41.3917,52.9479,49.3032,25.1796,75.2859,30.5069,54.2546,50.4981,32.0117,51.1661,20.1277,26.3252,18.9099,22.8095,40.1139,22.9174,36.5536,116.434,24.015,20.5624,65.0552,33.8857,18.327,45.2468,20.188,50.4583,33.6823
NR1H2,43.435,43.8195,41.1702,51.9404,51.3134,51.1659,56.4677,51.0896,27.7095,41.0032,41.9668,28.2387,24.18,55.4723,69.8788,53.9802,25.1621,96.6779,43.6151,50.7715,45.4606,48.1873,40.4402,47.3973,44.5501,36.0647,75.3655,36.4929,33.2045,39.8319,37.3665,25.8466,105.2782,31.8632,37.01,42.5738,54.463,21.1618,56.6712,46.2514,51.939,37.15855,43.7688,44.9889,58.4976,41.0022,34.8246,28.565,36.3888,40.8636,47.215,45.3403,37.5962,47.245,39.6971,31.1574,41.8236,28.2556,41.9025,43.1328,31.1608,31.2522,36.9912,44.0642,38.5406,50.0013,24.7093,59.8358,45.8387,38.4426,52.5256,41.4762,37.3554,33.601,36.8265,42.6592,28.7867
NR1H3,17.8242,7.0394,35.9714,18.0526,16.2477,21.7275,9.4219,10.8276,40.7421,8.5923,19.0837,22.6561,14.8761,10.9359,16.8123,11.435,18.7754,12.303,12.0858,8.1439,11.5924,10.7029,16.8476,33.1811,13.0523,15.7218,16.5475,39.3853,23.6214,19.3005,34.2161,29.4397,11.1647,16.7218,12.4653,27.5841,19.8728,5.0734,13.2855,27.1894,52.9035,20.10895,14.9549,11.0046,13.7683,10.0583,19.9731,45.4411,27.0358,25.433,10.1973,21.3994,3.9311,10.3755,12.0163,18.1214,10.8126,30.931,19.5213,16.6116,28.8278,27.7359,11.4215,46.4964,24.2675,31.6864,12.0324,10.0177,9.9747,16.593,14.6821,23.5805,11.9823,15.467,19.3943,19.8533,25.614
NR1H4,0,0,0,0,0.0199,0,0,0,0,0,0,0,0.0233,0.0161,0,0,0,0,0,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383,0,0,0,0,0,0.01665,0,0,0,0,0.0528,0,0,0,0.0205,0,0,0.0308,0,0,0,0,0,0.1219,0,0,0,0,0,0,0,0.0904,0.0372,0,0,0.0178,1.112,0,0.0565,0,0
NR1I2,0.1767,0.0838,0.0594,0.0591,0.0537,0.2364,0.0992,0.1567,0.1595,0.0243,0.0647,0.2839,0.0393,0.0325,0.1307,0.1356,0.0377,0,0.0223,0.218,0.1748,0.0164,0.0117,0.1822,0.0368,0.2137,0.0694,0.0348,0.0396,0.0595,0.104,0.0756,0.0188,0.0178,0.4222,0.1034,0.1198,0,0.0697,0.1009,0.1054,0.1366,0.0647,0.1809,0.115,0,0.1245,0.0855,0,0.1,0.0276,0,2.7957,0.1109,0.2297,0.0332,0.1158,0.8866,0.0921,0.2539,0.147,0.0111,0.0451,0.3731,0.1607,0.0381,0.0293,0.0762,0.1505,0.0794,0.2708,0.1202,0.0924,0.0337,0.0381,0.0793,0.3781
NR1I3,0.7529,0.3549,0.2951,0.901,0.2672,0.3047,0.2138,2.2262,0.5565,0.5024,0.343,1.03,0.2214,0.2512,0.7311,0.5777,0.5002,0.2771,0.5736,0.5026,0.945,1.1141,1.0623,0.7172,0.4264,0.2179,1.2464,0.6145,0.41,0.3122,3.3231,0.1541,0.732,0.53,2.5891,2.0351,0.7583,0.4315,0.154,0.3134,1.2998,0.4977,0.3216,0.6559,0.4764,3.2443,0.4127,0.5266,0.493,0.0736,0.2057,0.9586,3.3573,0.1608,0.7614,0.5325,0.4692,2.088,0.7479,2.5374,0.4669,0.6238,0.389,0.2898,0.4327,0.2996,2.1366,1.313,1.6007,0.3949,1.2754,0.4581,0.1702,0.3168,0.4415,0.6762,0.5302
NR2C1,10.5119,4.6114,7.431,6.8387,7.5609,16.6215,9.796,4.7039,6.6567,4.2061,3.8505,15.5515,5.0582,11.1402,5.5035,11.9974,3.481,11.1522,4.3569,10.5415,4.7774,3.9782,3.1873,7.444,6.7851,10.5514,7.9106,7.3712,6.0733,7.6475,13.4737,6.141,2.3271,6.0736,6.0727,11.8015,11.3449,2.7098,1.5394,9.4295,7.2222,13.03125,13.0516,5.9207,14.3791,2.9704,4.4942,13.2358,3.8322,9.5772,8.6356,7.3995,11.4519,4.4161,14.3578,7.8896,4.6348,9.1431,8.2314,9.2288,13.5012,6.6457,2.4161,17.1001,14.4106,7.219,1.8811,15.9298,9.0259,6.9984,13.6772,7.1453,8.1779,10.7626,7.0768,11.1596,9.7892
NR2C2,24.129,8.8291,8.0873,15.1503,10.5863,20.8581,5.1994,11.1239,13.5058,6.0668,7.3785,18.3472,5.2157,4.9289,18.5793,19.7743,6.7148,7.7189,6.6789,11.7352,7.5278,14.6814,11.9902,13.0845,10.6885,8.9442,10.924,14.9482,13.5158,19.6175,19.4523,4.4696,6.1004,6.6321,13.565,24.5082,12.1501,4.4156,7.374,15.4392,31.62,13.21035,7.9503,28.043,20.171,17.4852,18.9009,16.756,16.2491,10.65,12.5561,14.0083,22.7229,8.4735,24.7604,7.9795,16.1496,35.0336,12.6985,11.1858,6.5015,11.9787,18.9491,19.3148,16.9472,8.5888,18.3336,30.503,15.0179,12.9215,22.6618,8.8967,6.3164,10.273,13.5319,15.8746,16.0297
NR2C2AP,38.5629,24.6748,35.9023,42.505,45.5316,41.2729,27.8769,35.0116,37.8611,18.2541,31.1322,65.9767,26.5388,27.7174,34.4613,104.9122,74.7345,34.7458,39.0165,37.7593,24.0963,40.8885,21.3953,32.0601,37.261,25.3814,122.6477,29.6958,38.0321,24.2811,56.2291,17.0819,32.9229,19.6446,59.3074,27.6137,48.9343,59.1961,66.3933,29.3963,42.2393,76.5797,57.7992,25.6843,33.6805,38.3591,43.2403,59.3723,29.9832,35.7471,34.1023,54.6205,35.9724,33.8272,43.4826,20.3076,43.3787,52.8915,45.2132,39.7193,56.8963,19.3581,27.2323,21.7199,55.46,41.3942,25.6626,80.9793,46.621,27.2879,72.1958,56.9144,15.8612,27.4662,25.9592,56.6273,51.8511
NR2E1,0,0,0.919,0.0169,0.0384,0,0,0.32,0,0.0173,0,0.5154,0.0225,0.3095,0,0.0138,0,0,0.0319,0.0406,0.0394,0,0.1333,0.1302,0.0105,0.047,0,0.0331,0.0141,0,1.3586,0.0166,0,0.0508,0.0905,0,0,0,0,0.0721,0.0167,0.00835,0,0.8242,0.0164,0.0695,0,1.2052,0,0.0318,0,0.0236,0.3185,0,0,0.0475,0.0368,0.6503,0,0.0213,0,0.0316,0.3226,0.15,0.0144,0.0136,0.0628,0.5444,0.7889,0.0189,0.0407,0,0,0.0321,0,0,0.3603
NR2E3,1.9678,0.0927,0.5743,1.4311,0.156,1.0021,2.0576,0.13,0.0696,0.0603,0.8798,0.0509,0.352,0.1078,0.786,0.1285,0.751,0.6009,0.2408,0.0943,0.6103,0.2448,0.0193,0.0945,0.0488,1.0905,0.2111,0.1153,0.2463,0.6086,0.0739,0.54,0.1871,0.4126,0.2451,0.5789,2.9998,0.0279,0.2697,0.3974,2.9903,0.95935,0.9872,0.1688,0.4577,1.3715,1.3574,0.1622,0.4298,0.7187,0.6406,0.466,0.8401,0.276,2.6109,0.147,0.3202,0.0387,1.4818,0.2354,0.7721,0.1102,0.4343,1.2959,0.5497,0.2683,0.0486,0.3538,0.4786,0.3075,2.2459,0.7975,0.2044,0.9139,0.5472,0.2444,0.0322
NR2F1,29.2152,11.2364,45.8967,6.4896,28.2334,5.6706,17.1885,72.2777,3.5412,28.451,2.6637,3.1597,1.2553,9.891,7.3403,9.2565,2.7149,29.5068,29.3456,8.5277,2.284,11.5199,5.4396,3.9366,17.4856,5.9069,8.8369,4.2657,3.0013,11.8053,1.6126,15.4596,3.9523,33.436,1.8706,9.7918,1.142,8.3844,5.1588,8.1189,4.9375,19.34945,8.7342,3.6689,11.5501,7.9359,7.9921,1.2353,2.9577,34.5613,10.7567,2.6399,0.8469,1.6265,0.6583,118.7094,16.5722,0.5823,1.7699,2.4234,10.5778,8.8003,284.0597,5.6602,11.4049,10.9951,2.1757,8.0617,37.7264,5.221,7.3989,13.1547,6.1138,12.0536,52.1536,7.1141,2.7586
NR2F2,118.9398,61.8806,31.9244,48.2188,68.4534,20.2098,30.4674,37.429,13.8472,55.3202,31.3547,83.8561,58.3638,51.8411,135.9401,33.3433,41.5774,44.2143,27.5744,34.5019,38.4636,56.2136,27.4742,33.1005,34.9768,156.9683,38.2651,28.701,70.9872,46.3636,37.2106,62.042,31.3761,46.9474,40.9437,79.8484,24.396,22.6727,49.759,164.252,328.0403,89.0395,38.5917,66.1277,56.6427,78.4226,15.181,132.3042,89.332,138.7207,165.3288,41.3488,27.6151,74.0814,2.7572,31.9206,44.4481,43.66,101.38,28.4176,58.3302,75.3653,45.0456,34.9754,55.4437,15.7805,66.1638,38.2839,11.7052,25.0604,50.3661,42.7962,35.5278,159.5261,42.0424,33.7983,29.0504
NR2F6,74.4846,38.0655,49.0521,96.6325,50.9243,87.0422,112.7632,84.4566,49.1601,55.9892,78.7146,135.017,33.9278,73.2449,56.5109,170.6718,154.9106,90.0771,109.4816,58.1667,53.3753,91.8243,47.8566,47.9068,52.0198,61.0089,122.5706,65.7759,102.1751,101.5335,26.3432,26.2202,63.7609,49.9473,80.1297,45.9825,73.3882,64.5285,76.0056,89.8787,78.0544,160.27965,133.8721,34.13,56.1579,115.7488,103.8476,52.0486,145.7577,48.0062,90.076,71.2853,57.7653,88.6916,140.5661,31.9512,117.8124,88.5336,66.6692,46.3033,109.3867,72.8832,38.2857,22.4147,135.2256,42.5133,77.3047,65.2582,104.2273,92.7275,88.385,115.5806,68.795,38.8455,66.3325,35.5295,72.9544
NR3C1,33.0255,12.8694,10.6389,12.6626,23.5402,8.9252,24.3123,10.7966,30.9442,18.8622,13.2366,21.2408,9.1951,14.6664,44.7232,10.3065,11.5749,14.3551,5.8373,13.016,10.243,8.7932,17.1079,24.4091,17.4408,20.4664,12.0434,22.957,10.9932,27.9172,19.7611,15.4139,6.4144,9.4345,27.6352,26.7953,8.8629,7.6216,5.5181,38.9778,12.4178,25.0028,27.9192,30.5067,54.7706,16.6913,11.578,25.0167,45.2148,42.8063,18.3325,22.9393,7.354,19.0336,40.9755,23.3004,39.6369,17.9878,3.17,21.7778,5.2595,33.6058,20.6808,48.7229,17.6737,14.464,5.4474,41.4272,15.5691,14.4414,26.2114,13.2662,10.087,24.1274,20.5985,11.1041,39.1415
NR3C2,11.8514,1.1224,1.7483,1.2995,10.9091,1.7969,2.2792,3.3004,2.188,3.4964,4.3091,1.6685,0.48,2.4163,2.209,1.3092,4.6192,0.7149,2.5736,2.1151,0.3521,0.8146,3.5596,6.8357,5.6819,9.263,1.5078,2.8028,0.6207,4.983,0.5444,1.7613,8.9093,0.6656,19.808,1.895,0.7986,2.0041,0.6715,4.087,1.5826,2.213,1.3276,5.2586,6.1335,2.5253,1.1156,2.8964,1.2661,5.3653,1.8197,1.023,2.6812,3.258,39.1933,1.5883,2.6201,1.2352,1.4401,3.0841,1.6062,8.8901,7.6026,8.7367,2.9691,4.8201,1.3364,14.047,2.9628,1.9517,1.8224,1.6055,0.9201,2.8756,3.255,1.1077,2.8743
NR4A1,40.1046,6.6967,9.9308,69.2819,9.2163,18.1734,33.0492,11.3454,5.3134,9.0973,6.0307,12.5475,4.2606,33.5054,13.7636,6.8214,6.9478,11.8913,15.328,47.7149,4.9932,6.1199,15.3199,17.6071,22.8889,59.1376,13.1865,5.2393,13.8709,18.0448,14.4512,7.397,48.9898,38.5575,59.4571,20.1858,27.9413,4.1692,11.6749,213.1837,4.041,9.6241,136.8836,17.1907,231.0888,9.7943,6.1675,8.5909,15.2957,54.985,57.0814,8.814,146.3714,5.5843,6.5082,6.9718,27.0235,26.2032,7.4931,4.7435,7.418,9.2439,7.9311,15.619,66.1539,8.5344,13.152,45.6516,12.9079,18.4968,7.4327,20.3567,7.6745,8.4684,21.8338,11.8711,17.0425
NR4A2,54.0826,43.6695,4.1504,79.4531,13.0066,65.3193,8.61,8.5726,4.195,11.8557,88.2993,4.5111,6.2956,7.8804,11.6695,4.3784,12.6357,5.373,22.2873,22.2637,5.7447,5.1651,15.841,8.1955,12.7868,24.2579,7.5727,8.8106,5.362,136.5143,13.2503,3.3942,6.3803,11.2905,48.6751,10.8822,20.6356,4.1509,163.018,35.5924,27.8788,3.5645,41.4567,17.9486,166.2472,7.1654,4.4929,7.8323,99.6731,28.3583,13.9512,9.5373,11.0856,140.2423,4.8983,12.2017,9.0333,22.0024,19.5079,3.083,41.2142,19.7067,18.191,12.634,51.0281,9.7412,10.3047,16.84,27.61,23.4061,21.8097,6.4467,9.6226,11.6494,15.2116,32.1626,16.6928
NR4A3,4.3023,1.2221,1.6945,2.6491,0.7328,1.0633,2.1397,1.0017,3.1195,1.726,0.6064,2.8706,0.7166,2.5746,1.9077,1.0151,2.047,0.7006,1.1324,16.0013,0.9328,0.3074,1.8673,4.3481,2.8444,5.967,1.6862,1.6788,2.0834,1.9522,6.0128,0.5202,0.6808,4.9363,11.4971,2.2914,2.6461,0.7014,0.4453,22.6728,0.5088,3.388,0.7277,6.8904,39.4199,4.6321,0.6368,4.3431,1.8645,7.0439,2.9619,1.9015,8.3218,0.2895,0.3481,2.3041,3.7067,7.6158,0.934,1.2158,0.7099,2.6417,1.3156,3.7363,4.4849,4.2328,0.4745,8.9855,1.5074,1.6474,1.6155,1.8541,1.2342,1.2745,2.2382,1.217,5.8914
NR5A1,0.0398,0.0734,0,0,0,0.0207,0,0.0177,0.0397,0,0.0204,0.0242,0,0.1025,0.0258,0.3512,0,0.0439,0.0352,0.1345,0.0145,0.0259,0,0.1078,0.0116,0.0259,0,0,0,0,0.0234,0,0.0889,0.028,0.0499,0,0,0,0,0,0.0185,0.00925,0.0408,0.0535,0.0363,0,0.0281,0.0193,0,0.0175,0,0.0261,0.0799,0.1203,0,0,0,1.8031,0.1307,0.1414,0,0,0.0142,0.1655,0.0158,0,0,0.1201,0.0593,0,0,0.0569,0,0.0177,0.08,0.0179,0.0153
NR5A2,14.5043,1.0362,7.1344,1.5598,2.0989,3.0449,1.2459,2.6433,23.8008,1.7908,0.5168,0.9852,0.7568,1.0891,1.7251,2.4938,3.9024,1.7395,1.4816,3.0899,0.3674,0.7486,0.8231,2.4291,1.1013,6.132,5.9514,1.0581,0.8331,1.1177,0.8053,1.0617,0.5229,0.7605,0.9865,2.1855,1.329,0.695,1.1515,3.8857,1.4113,1.03035,1.0152,1.1213,3.2644,1.5614,2.3986,1.2118,1.725,3.6535,1.3085,2.3698,0.448,0.8259,3.3504,0.8853,4.0208,0.6491,1.0249,0.4209,1.9137,2.6773,1.6487,4.3004,2.1852,1.9141,0.7421,1.3804,1.5929,2.2384,0.9151,0.8832,1.0478,1.099,1.7106,3.3149,1.245
NR6A1,6.7959,1.8846,1.92,1.9012,1.7858,8.2918,0.742,3.9904,0.5136,0.577,1.104,1.8137,0.0831,3.3037,2.7641,18.0199,3.628,1.2522,1.8552,2.0042,1.3476,1.7089,2.315,1.7202,2.4651,0.7758,1.2059,3.4304,3.4608,6.0736,1.7948,0.2107,6.4801,0.1879,2.009,3.5829,0.6335,0.9768,0.3859,12.0171,14.9761,1.2032,1.1236,0.8113,2.4921,3.1774,1.2226,0.3876,5.2613,0.5034,0.8124,6.1036,5.9441,2.2148,4.0675,0.6444,3.4695,4.978,9.6959,2.2507,0.37,0.7859,0.6477,1.4266,4.5585,0.1868,0.7635,3.6247,2.4442,0.48,2.3788,1.2981,1.0937,0.2887,0.6899,4.1941,3.0607
NRAP,0.1318,0.0177,0.0469,0.0337,0,0,0.0094,0.0425,0,0.1036,0.1228,0.051,0.0075,0.1439,0.4808,0.0184,0.0119,0.0132,0.0954,0.045,0.0349,0,0.0111,0.054,0,0.0468,0.022,0,0.0188,0.0188,0.0564,0.0441,0.2676,13.9979,0.0501,0.1104,0.0414,0.1754,0,0.0838,0.5889,0.03095,0.1474,0.0644,0.0327,0.0115,0.3546,0.058,0.0546,1.2759,0.0524,0.1569,0.0385,0.0329,0.0646,0.0947,0.0366,0.0111,0.6993,0.0638,0.0116,0.0105,0.0171,0,0.0095,0.0181,0.0278,0.0578,0.0476,0.2011,0,0.0913,0.1072,0.032,0.4456,0.1936,0.0092
NRARP,24.1972,14.7981,17.7565,20.9263,14.2343,22.5841,31.299,40.0281,4.0369,28.9586,9.3569,35.7375,7.1413,8.3393,18.7759,28.352,8.1736,21.4054,11.4209,13.1123,8.4141,35.8134,7.504,11.3697,16.7459,9.1085,26.0743,14.8263,10.2037,33.9428,16.6751,6.7041,9.8039,24.7616,12.668,18.2522,17.7134,16.4785,30.0481,22.8124,14.9782,8.47295,4.4548,28.016,13.7043,14.2702,20.5518,25.9708,24.4194,8.1033,11.1839,6.0949,67.6325,13.3063,5.9981,19.5963,12.9783,42.5716,31.4308,13.5287,11.2059,19.7593,9.7857,6.3907,27.379,10.9921,22.9853,25.0212,27.0156,12.8674,30.0263,10.5063,16.7623,7.9729,16.6737,19.8591,25.4833
NRAS,44.5209,44.9971,56.1454,83.9885,62.4506,59.2012,23.4281,56.0449,58.9502,15.9443,27.7733,121.7623,13.5777,64.5683,39.4687,51.9625,51.9172,78.0952,13.0003,48.8904,38.4056,88.3325,59.2793,100.2783,37.5189,59.614,92.9188,58.5025,87.8504,35.5973,122.2163,24.217,32.7433,76.2914,100.3421,104.7237,43.2558,27.0984,38.2772,95.9197,74.8566,83.619,41.9367,168.4342,85.3802,70.935,54.303,142.6193,97.3371,51.7364,18.9392,117.2194,110.2727,62.9523,58.9382,47.1233,63.1612,238.5801,44.9179,63.2216,10.9398,56.4589,78.4155,59.6242,73.255,56.1704,55.5465,107.0409,89.6731,51.036,107.7872,81.8426,24.2481,66.8706,41.9161,34.5671,106.7189
NRBF2,41.5829,34.5278,41.413,41.3837,35.3672,30.8921,27.1908,41.6361,35.4326,43.2864,17.0638,84.5294,27.717,36.4118,58.2745,40.2383,30.8978,52.613,48.5798,40.5108,44.9875,51.3324,35.201,48.8373,32.6911,31.3796,38.5824,53.1015,42.8912,41.0648,71.5168,22.3959,19.7386,54.4172,45.0889,58.5082,28.0625,19.2559,31.1278,61.101,29.0263,39.87385,27.5752,73.5545,54.5133,30.2883,35.9544,62.3365,46.3652,38.6156,40.4052,61.9859,52.7,28.3178,23.4094,62.0394,44.1105,58.4499,23.9054,77.675,25.3111,48.0078,46.1256,44.6228,49.7776,32.7505,54.7004,39.8072,78.6856,41.1117,38.8503,51.8859,32.3871,28.0731,38.9661,65.3488,63.012
NRBP1,101.2494,98.8652,111.8923,98.0878,78.8324,73.6129,76.4051,75.0436,50.4235,126.4704,55.3459,342.5323,55.2457,87.8512,93.1175,105.8567,111.859,129.4661,79.6018,79.5492,97.0511,94.3565,87.5941,117.984,129.8907,57.5215,87.032,84.8037,138.074,79.9132,103.6828,36.565,27.966,99.7876,61.2041,108.469,64.2553,26.7641,58.0652,94.3026,84.7387,133.33015,72.3328,107.7644,93.331,149.1044,68.6743,85.4068,72.0888,63.8283,62.3477,92.9541,83.2887,48.7795,68.43,101.2797,93.243,88.3974,53.0355,200.5984,73.9277,129.1134,78.9804,66.463,89.2719,64.391,75.079,50.1703,117.1032,79.5583,89.0687,75.6871,81.8691,98.725,78.0721,69.8894,82.609
NRBP2,23.2474,7.1796,24.8777,11.2914,10.1246,29.7629,23.6581,22.8052,10.3097,12.0222,13.6427,81.6207,13.9187,4.4992,28.9564,8.3642,2.359,12.3693,15.9893,31.8884,8.0747,16.2906,24.1887,28.8641,38.9648,14.3576,9.7041,11.0826,5.1163,9.8953,15.632,7.2404,19.5148,7.2858,22.875,19.2999,8.02,78.0188,10.9673,13.242,24.0265,39.1854,24.3951,22.8147,22.2195,14.0566,21.8267,18.8194,5.3162,12.8426,9.2052,25.2521,55.821,25.1174,27.5497,10.8518,15.6058,19.7335,38.2478,15.6885,10.3131,20.8994,13.3016,15.514,22.2454,8.4572,4.2662,70.8366,10.1648,10.5695,18.6523,19.7287,14.9202,13.9678,11.4847,27.8354,11.4727
NRCAM,1.2127,15.466,0.5044,2.2404,1.2383,45.9623,0.4022,1.5074,0.7793,1.633,13.8425,1.1987,1.2483,2.8595,8.1491,1.6394,5.3021,6.2389,0.927,5.7679,3.3848,1.4148,2.4836,2.2035,6.2759,0.9293,1.1421,1.4164,1.9603,2.677,1.136,0.8132,21.5624,1.1498,2.9878,3.946,0.3347,7.4716,15.1205,2.8434,2.3032,37.83545,31.5689,1.8553,3.1866,2.5991,1.2908,1.7655,2.8916,1.4524,1.6498,0.551,2.0658,0.5619,23.8093,1.6949,3.5917,1.3421,4.6656,0.6689,7.014,2.0045,0.8675,1.4786,1.6806,0.7961,1.245,1.8823,4.2229,1.6789,12.2137,0.6993,1.2689,5.0937,1.5675,6.5638,0.976
NRDC,63.189,53.7371,43.9084,106.0307,67.5011,76.0946,53.1698,53.5125,58.7828,67.1441,54.6768,134.8955,60.7182,67.7708,96.449,70.4556,77.2405,93.783,52.4466,67.2806,113.6849,81.4696,74.4285,105.1529,50.3281,73.4038,95.6046,69.1171,100.8522,79.4515,93.1659,27.6285,19.144,107.253,98.2732,87.6953,94.9063,27.1765,67.4861,83.4632,87.7,84.4321,103.1643,104.8499,91.4737,92.2758,61.7217,90.8209,56.9864,65.957,92.6648,107.0521,67.2457,115.635,105.7212,98.1561,67.4443,81.4149,57.8987,128.6834,93.4341,97.3647,83.2287,68.1525,90.7053,64.179,133.3344,89.3704,118.856,103.4615,109.7444,151.2926,38.5884,67.1621,78.4623,95.292,83.8072
