gene_name,BH-A0E9,AN-A04A,AN-A0AJ,AR-A1AV,A2-A0EX,BH-A18N,AO-A126,A2-A0EY,AR-A1AW,C8-A135,AO-A12B,C8-A134,A2-A0SW,AN-A0AL,AR-A1AP,C8-A130,C8-A12U,C8-A12T,C8-A131,AO-A12F,AN-A0AM,AR-A1AS,AO-A12D,C8-A12V,D8-A142,AO-A12E,A2-A0T3,AR-A0TT,A8-A076,A2-A0YC,A2-A0CM,AO-A0J9,AN-A0FL,AO-A0JM,A7-A0CE,A8-A08Z,AR-A0TV,AO-A0JL,AN-A0FK,A2-A0YD,AR-A0TR,E2-A15A,A7-A13F,BH-A0AV,A2-A0T6,A2-A0YG,E2-A154,AR-A0U4,A2-A0YF,AO-A0JJ,BH-A0BV,AO-A03O,E2-A158,A8-A06Z,A8-A06N,AO-A0JE,BH-A0C1,A2-A0YM,A8-A079,AO-A0J6,A7-A0CJ,AR-A0TX,A8-A09G,AO-A0JC,BH-A0C7,A2-A0EQ,C8-A12Z,BH-A18Q,C8-A12L,BH-A0E1,BH-A0DD,A2-A0D2,C8-A138,A2-A0EV,BH-A0DG,BH-A18U,A2-A0SX
FBXW2,43.4883,31.5429,45.401,36.069,31.4275,29.6989,20.6589,30.2062,27.6782,24.6787,12.1711,25.1125,17.6138,20.2043,24.4713,37.0072,33.0448,21.8598,16.377,17.2417,21.515,43.2813,21.881,18.6881,24.2081,29.2628,63.6053,27.0941,38.6605,31.2093,26.701,11.1862,15.8349,34.1461,22.1622,49.0497,30.3079,6.7545,25.1729,31.6199,51.5121,28.32765,24.9805,29.8107,46.378,53.5655,35.013,24.7473,41.0025,29.4517,26.1955,61.8666,31.3435,20.7802,34.2348,22.3849,38.1341,35.2853,40.026,18.895,30.6603,45.0418,54.2528,24.8809,41.6141,25.1976,38.5542,21.6409,19.5666,23.6296,52.5415,38.6224,12.7536,27.297,29.8972,44.2387,28.7969
FBXW4,57.5187,38.1803,46.3299,38.4389,40.5521,84.121,72.1165,28.4681,35.8144,31.0994,88.1802,38.4272,18.4241,36.326,50.9234,45.4462,39.9863,49.3487,40.9072,16.187,26.288,62.1361,16.7182,22.9528,19.4964,39.4187,31.5885,41.2867,24.937,67.6466,31.618,36.1809,19.9551,33.2102,31.0054,42.9667,41.3549,17.2408,47.1682,51.2551,52.6372,40.96705,43.983,31.2208,46.5303,31.6239,85.6567,36.5354,69.6421,51.1762,54.1203,61.2005,58.7366,48.1612,37.2318,28.7589,44.3802,33.0452,35.0188,37.4862,63.9765,28.4257,27.2978,43.6632,38.8526,43.1609,23.3631,36.0297,27.4263,74.5801,38.4069,25.8946,29.8496,35.1174,42.4156,21.2688,30.0934
FBXW5,73.9111,73.4841,77.7593,91.3422,66.1923,62.8383,90.4725,105.2211,40.0604,93.1686,87.9742,67.6466,58.5527,107.3321,83.7033,61.9146,138.7483,92.0692,69.3692,48.4305,57.0789,95.6768,44.8754,82.3769,79.9929,78.2372,94.0553,78.1373,85.9805,78.0459,58.5005,34.5392,91.3766,130.2048,61.0439,109.3002,77.0427,28.5639,88.2464,106.1774,113.4923,62.78615,76.8434,86.6159,103.0766,96.6944,63.9925,147.174,56.2118,76.6744,133.4435,48.3538,60.8274,69.0393,67.4656,54.8276,84.61,141.9603,63.3986,116.5575,60.5902,98.9414,110.8581,96.6471,76.4853,65.888,115.5265,56.4994,128.915,123.4962,89.1946,83.8624,51.9956,65.8152,102.2,56.4683,84.9569
FBXW7,8.1093,4.9836,14.3897,6.5052,5.2744,8.7282,5.5738,6.688,11.3485,7.8041,2.4917,6.8856,5.3461,6.1879,5.2373,3.9535,4.7459,4.1589,4.8816,10.3729,3.2772,4.3155,5.1068,9.405,6.2225,6.4483,10.5992,10.6881,6.1654,6.289,7.491,3.4447,3.5928,7.6284,7.4242,9.5984,5.6599,12.4474,3.9441,7.9965,6.5921,8.63345,3.5635,5.3981,9.0219,7.5746,6.6178,6.9421,7.1956,6.1037,4.8263,6.3506,3.5695,3.0445,11.8138,5.6914,5.9979,11.2241,6.6624,18.318,7.2343,7.6397,4.3406,14.5555,9.6969,5.8946,4.8541,16.8319,4.857,4.4839,9.542,10.8986,4.8728,5.7977,5.8328,4.9937,6.5102
FBXW8,19.0737,11.5812,9.0333,29.0945,12.6573,16.687,12.2399,10.7312,7.233,9.5961,14.486,14.5049,5.9506,4.6755,14.0936,9.6031,9.1585,13.1988,8.9049,10.9364,10.0997,16.7687,15.8684,13.7054,12.1887,19.5505,21.3717,13.9568,11.8803,18.4897,15.1289,8.0652,2.6601,13.7473,13.8161,18.7484,25.0293,4.5895,12.6075,19.7326,38.3694,18.17055,19.6458,16.9611,22.7924,26.5035,32.3991,14.3288,28.4887,12.1187,23.7213,21.2386,22.8636,9.9692,29.2243,19.8366,18.597,30.4178,18.9515,16.9743,16.2852,13.4146,21.0486,10.2864,16.2675,8.9838,8.1122,18.9974,13.412,14.5112,20.73,8.0585,9.6975,14.2177,14.0632,12.4102,14.4626
FBXW9,21.3778,5.6704,11.6431,26.4915,28.8074,24.262,15.692,27.2394,16.4335,12.3809,34.2258,12.6827,9.8329,10.7221,12.584,23.4643,13.3858,34.5465,18.2568,10.8404,29.6525,30.2493,16.5511,14.0161,17.5688,14.5087,25.6096,11.385,12.3835,20.9833,12.3138,4.3435,16.4239,6.3193,21.1488,26.4938,15.053,4.5987,22.4331,12.9047,24.5609,16.64605,34.0961,10.011,33.3319,22.5255,37.1438,29.8005,10.5823,14.8097,15.5625,15.4775,18.7908,19.2648,17.3075,8.3639,31.5432,23.2238,20.0068,26.5644,23.0052,16.2029,19.9582,6.0565,22.4596,18.576,9.8218,30.6426,20.446,17.6159,22.9018,27.0955,9.3295,15.5942,12.2064,27.4335,31.5312
FCAMR,0.326,0,0.0301,0.018,0,0.02,0,0.1361,3.5467,0,0.0197,0.1749,0.1911,5.5945,0,0.0589,0,0,0.017,0.0144,0,0,0.0354,4.0669,0.0335,0.0125,0.0703,17.5202,0,0.0151,0.3386,0.0088,0.0714,0,0.016,0.0196,0,0,0,0.0958,0.7827,0.11425,0,0.0344,1.258,0.0185,0,6.9271,0.3208,0.1519,0.021,0.0251,0.0616,0,0.0388,0.1347,0,0,0.014,0.3973,0,0.0505,0.0823,52.5719,0.0153,0.0289,0,0.2778,0.1144,0,0.0433,0.0365,0.0936,0,0.6362,0,0.0589
FCAR,0.0204,0.0151,0.192,0.0382,0,0.0637,0.0161,0.2535,0.9641,0.0196,0.0418,0.211,0.1525,0.1751,0.0529,0.0157,0.122,0,0.2348,0.3986,0.2529,0.3978,0.132,0.2579,0.2021,0.2791,0.0187,0.431,0.08,0.0481,0.2883,0,0.0152,0.1724,0.3244,0.8781,0.4581,0.0272,0.0376,0.102,0.0757,0.205,0,1.4814,0.0558,0,0,4.7241,0.1242,0.3594,0.1115,0.1604,0.0983,0.0224,0.2202,0.3405,0.0833,2.8492,0.0596,0.459,0.1783,0.1791,0.0292,0.2263,0.0975,0.3078,0.1185,0.2218,0.0406,0.0642,0.3227,0.3694,0.0498,0.1091,0.0205,0.3666,0.3136
FCER1A,49.3744,4.8169,0.9138,0.928,26.2491,0.9099,1.9709,8.0659,1.1246,7.2818,1.8523,2.7289,0.3993,2.8007,7.9996,0.984,1.336,1.4802,2.1661,3.2395,0.7222,0.4544,0.2692,31.9289,3.0899,11.5389,8.2304,1.8197,1.3714,28.0306,1.0977,7.1425,0.7813,1.231,0.7314,4.0004,0.6542,0.2715,1.7163,37.4466,4.0551,5.3844,5.1988,5.4841,50.2383,3.089,2.3007,5.8705,7.2244,21.8077,2.4844,0.8397,0.2339,0.6084,0.2358,5.8857,15.7507,5.4963,0.8508,0.069,1.7539,14.522,4.837,21.5963,17.349,3.2522,1.8271,6.6856,0.6373,7.8887,1.0533,15.7672,2.4194,6.1286,20.4521,1.4134,2.5078
FCER1G,73.7588,71.8308,241.6299,97.9036,67.569,87.4565,157.5917,100.1019,182.1099,77.4404,64.1222,176.3278,102.6915,121.9697,140.9099,79.5118,110.6291,128.0184,76.0408,73.2738,158.0235,148.4542,142.4752,368.6358,154.7444,159.4943,42.0466,282.0663,180.6533,140.1502,220.5416,264.1435,28.7474,221.5631,83.2584,333.5058,163.7672,40.7384,75.1255,149.1354,37.1796,125.30285,98.7184,188.9169,231.6218,68.2124,97.8126,457.1219,337.3389,175.5536,238.7284,124.7265,29.4018,70.4319,54.9494,265.6499,94.0247,261.0667,124.2535,166.9326,71.3144,166.2304,91.1104,154.6433,66.5431,128.7956,52.5032,127.7423,73.8025,65.9957,71.3618,153.1087,169.2992,168.4019,165.3671,149.5544,158.95
FCER2,0.8866,0.0409,0.5864,0,3.097,0,0.0871,2.3347,12.7731,0.1065,0.0284,0.5559,0.5003,13.3598,0.287,0,0.2761,0,0.1961,0.0624,0.1413,0,0.0512,1.4251,0.7424,0.1082,0.127,2.4167,0.1086,0.1959,0.163,0.2808,0.0619,0.156,0.1622,0,0.0957,0.0369,0.0255,0.8858,4.8572,4.8448,0.0284,0.0745,2.0699,0.1602,0,0.0805,0.4845,2.1463,0.0303,0.1451,0.0445,0.0609,0,0.0973,0.0283,0.0768,0.2224,0.082,0.0807,0.8021,0.5748,210.4472,0.0661,4.7836,0,0.1338,0.9639,0.2035,0,0.2903,0.2029,0.2222,2.9247,0.0249,1.4687
FCF1,41.674,35.1906,46.5013,46.4624,40.7537,30.9651,19.483,34.426,27.5986,33.4595,22.3773,42.7659,12.3557,32.2317,26.9855,33.5452,35.7376,49.8468,24.4668,30.9528,49.3142,54.0498,32.791,31.4987,28.4498,29.1197,47.5461,32.5217,54.0646,33.9128,45.6622,11.5124,20.6883,46.5046,27.0428,49.9526,19.6974,5.2741,33.2766,39.8046,36.4377,34.24055,23.8749,39.5565,47.936,48.2418,46.5226,34.7438,39.9524,25.2615,33.1277,55.51,30.2673,23.8279,38.6751,54.1103,54.6422,45.7429,24.168,23.7232,43.4744,40.4084,34.9886,24.6635,42.5891,19.3279,36.2047,39.6201,29.6906,23.5625,43.8471,41.6113,23.9721,36.977,31.0796,35.2014,38.7412
