,Score,Localization,Dataset_Name,Type
ARL15,-0.046096124,Secretory,Lung_NAT_PD,Proteome
ARL6,0.09882885,Cytosol,Lung_NAT_PD,Proteome
ARL6IP5,-0.26136494,Secretory,Lung_NAT_PD,Proteome
ARL8A,-0.3140502,Secretory,Lung_NAT_PD,Proteome
ARL8B,-0.27784112,Secretory,Lung_NAT_PD,Proteome
ARMC10,0.43052775,Mitochondria,Lung_NAT_PD,Proteome
ARMC6,-0.34848678,Cytosol,Lung_NAT_PD,Proteome
ARMCX3,0.2518148,Mitochondria,Lung_NAT_PD,Proteome
ARPC5,-0.20224434,Cytosol,Lung_NAT_PD,Proteome
ARV1,-0.052832294,Secretory,Lung_NAT_PD,Proteome
ASAH1,-0.3233445,Secretory,Lung_NAT_PD,Proteome
ASAP1,-0.021922683,Cytosol,Lung_NAT_PD,Proteome
ASH2L,0.3782251,Nucleus,Lung_NAT_PD,Proteome
ASMTL,0.090825334,Cytosol,Lung_NAT_PD,Proteome
ASPH,-0.22382346,Secretory,Lung_NAT_PD,Proteome
ASPSCR1,0.1937649,Cytosol,Lung_NAT_PD,Proteome
ASS1,-0.32705685,Cytosol,Lung_NAT_PD,Proteome
ATAD1,0.45034462,Mitochondria,Lung_NAT_PD,Proteome
ATAD2,0.30092603,Nucleus,Lung_NAT_PD,Proteome
ATAD2B,0.29264364,Nucleus,Lung_NAT_PD,Proteome
ATAD3A,0.4699189,Mitochondria,Lung_NAT_PD,Proteome
ATE1,0.17905419,Cytosol,Lung_NAT_PD,Proteome
ATF1,0.13331904,Nucleus,Lung_NAT_PD,Proteome
ATF6,-0.5309316,Secretory,Lung_NAT_PD,Proteome
ATG12,-0.21571705,Cytosol,Lung_NAT_PD,Proteome
ATG13,-0.10665133,Cytosol,Lung_NAT_PD,Proteome
ATG16L1,-0.2556278,Cytosol,Lung_NAT_PD,Proteome
ATG2B,-0.09829868,Cytosol,Lung_NAT_PD,Proteome
ATG3,-0.095641516,Cytosol,Lung_NAT_PD,Proteome
ATG4B,-0.08124345,Cytosol,Lung_NAT_PD,Proteome
ATG4C,-0.48618904,Cytosol,Lung_NAT_PD,Proteome
ATG5,-0.30180937,Cytosol,Lung_NAT_PD,Proteome
ATG7,-0.29016215,Cytosol,Lung_NAT_PD,Proteome
ATG9A,-0.29598394,Secretory,Lung_NAT_PD,Proteome
ATIC,-0.014237878,Cytosol,Lung_NAT_PD,Proteome
ATL2,-0.3261808,Secretory,Lung_NAT_PD,Proteome
ATL3,-0.026728718,Secretory,Lung_NAT_PD,Proteome
ATP11A,-0.2832169,Secretory,Lung_NAT_PD,Proteome
ATP11B,-0.0052413805,Secretory,Lung_NAT_PD,Proteome
ATP11C,-0.16717626,Secretory,Lung_NAT_PD,Proteome
ATP13A1,-0.0742023,Secretory,Lung_NAT_PD,Proteome
ATP13A3,-0.36719024,Secretory,Lung_NAT_PD,Proteome
ATP1A1,-0.02220949,Secretory,Lung_NAT_PD,Proteome
ATP1B1,-0.4214353,Secretory,Lung_NAT_PD,Proteome
ATP1B3,-0.095502496,Secretory,Lung_NAT_PD,Proteome
