,Score,Localization,Dataset_Name,Type
ARHGDIA,0.4280821,Cytosol,Krug_Breast_PD,Proteome
ARHGDIB,0.4313056,Cytosol,Krug_Breast_PD,Proteome
ARHGEF10,0.10790092,Cytosol,Krug_Breast_PD,Proteome
ARHGEF10L,-0.37592998,Cytosol,Krug_Breast_PD,Proteome
ARHGEF40,-0.18191276,Secretory,Krug_Breast_PD,Proteome
ARHGEF7,0.31741744,Cytosol,Krug_Breast_PD,Proteome
ARID1B,0.5660753,Nucleus,Krug_Breast_PD,Proteome
ARIH1,-0.036093783,Cytosol,Krug_Breast_PD,Proteome
ARIH2,-0.56911695,Cytosol,Krug_Breast_PD,Proteome
ARL15,-0.10322491,Secretory,Krug_Breast_PD,Proteome
ARL6,0.4432411,Cytosol,Krug_Breast_PD,Proteome
ARL6IP5,0.43977028,Secretory,Krug_Breast_PD,Proteome
ARL8A,-0.63666815,Secretory,Krug_Breast_PD,Proteome
ARL8B,0.44981676,Secretory,Krug_Breast_PD,Proteome
ARMC10,-0.49701607,Mitochondria,Krug_Breast_PD,Proteome
ARMC6,-0.48342034,Cytosol,Krug_Breast_PD,Proteome
ARMCX3,-0.58581793,Mitochondria,Krug_Breast_PD,Proteome
ARPC5,0.21406738,Cytosol,Krug_Breast_PD,Proteome
ASAH1,-0.44761515,Secretory,Krug_Breast_PD,Proteome
ASAP1,0.17576696,Cytosol,Krug_Breast_PD,Proteome
ASH1L,0.5921335,Nucleus,Krug_Breast_PD,Proteome
ASH2L,0.5778499,Nucleus,Krug_Breast_PD,Proteome
ASMTL,0.305855,Cytosol,Krug_Breast_PD,Proteome
ASPH,0.28239325,Secretory,Krug_Breast_PD,Proteome
ASPSCR1,0.10991053,Cytosol,Krug_Breast_PD,Proteome
ASS1,-0.016464066,Cytosol,Krug_Breast_PD,Proteome
ATAD1,-0.5087479,Mitochondria,Krug_Breast_PD,Proteome
ATAD2,0.56473416,Nucleus,Krug_Breast_PD,Proteome
ATAD2B,0.4977847,Nucleus,Krug_Breast_PD,Proteome
ATAD3A,0.18849628,Mitochondria,Krug_Breast_PD,Proteome
ATAD3B,-0.5171735,Mitochondria,Krug_Breast_PD,Proteome
ATE1,0.30720332,Cytosol,Krug_Breast_PD,Proteome
ATF1,0.48752457,Nucleus,Krug_Breast_PD,Proteome
ATG12,0.4254224,Cytosol,Krug_Breast_PD,Proteome
ATG13,-0.39033985,Cytosol,Krug_Breast_PD,Proteome
ATG16L1,0.46414658,Cytosol,Krug_Breast_PD,Proteome
ATG2B,0.29012325,Cytosol,Krug_Breast_PD,Proteome
ATG3,0.16466786,Cytosol,Krug_Breast_PD,Proteome
ATG4B,0.08321788,Cytosol,Krug_Breast_PD,Proteome
ATG4C,0.34242237,Cytosol,Krug_Breast_PD,Proteome
